"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","合計"
"011 耕種農業","337.43892547404823","6656.334646373733","246.25178404565708","5.073690026567291","94.83480342543871","491.25420538957843","-0.1629569199990969","22.655698362124944","54691.3192038229","62545.00000000005"
"012 畜産","17.570421245191497","267.23136211190536","14.012814360007592","0.40667070056245086","0.17726638013031487","26.854144293011426","0.24549956936235698","0.468172002167466","799.0336493376616","1126.0"
"013 農業サービス","23.85924980329857","924.750518768242","46.675165590636816","4.116082953380014","3.9316420563691925","28.596461324001126","0.07633855022320629","1.0648962421672645","2464.9296447116812","3497.999999999999"
"015 林業","27.110329154172547","398.0622483536229","12.670961447808338","0.5979283445335267","34.071623629301534","105.1850987955338","715.6060973849944","0.3389335432174507","3525.3567793468146","4818.999999999999"
"017 漁業","41.43784196523462","442.16871586617646","25.277392901345813","0.383604075908572","0.19222470131045397","0.7184844843894226","8.450632701197865","6.397923180204396","6762.973180124235","7288.000000000003"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"063 非金属鉱物","-2.2198824402795863","-0.25785642011615273","0.7512274746142459","0.18445191598543453","171.4033431435368","78.50543100017562","-3.2248611704200005","0.6983837337196359","666.159762762784","912.0"
"111 食料品","645.7157940042575","13045.73128488131","411.7318412366593","9.660366695337574","1.9887600183124485","3.7031152480889804","140.18075555517458","24.412813928810156","27635.875268432013","41918.99999999996"
"112 飲料","339.95867884649334","3191.5721643088373","45.28346505806249","0.6003548287430575","0.6397083724946903","1.0259726078726115","10.80370491570113","3.7420560953660913","18767.37389496642","22360.99999999999"
"113 飼料・有機質肥料（別掲を除く。）","0.5028568315902976","21.88579105487896","1.2814159593867043","0.11742839542828037","0.09545317081096488","0.6652445706862896","0.05452613609780375","0.02683743835006762","236.37044644277074","261.0000000000001"
"114 たばこ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"151 繊維工業製品","1.9961367713614866","56.77743588005323","6.939344334107729","1.0111146304406176","3.4626741250147393","24.036427616635024","5.639297512879155","271.7820635686664","13692.355505560849","14064.000000000007"
"152 衣服・その他の繊維既製品","12.13280376317888","455.42757229169854","32.369996525360094","5.416794247188408","6.163468029517163","45.20209288340193","-8.43321146714339","4.987046868754147","6727.733436858042","7280.999999999998"
"161 木材・木製品","8.576724113282868","111.42090720390136","18.98557309331134","2.9239982573934395","252.44074433945005","828.7752566308326","4.392180113035829","2.0831105130544616","9611.401505735756","10841.000000000018"
"162 家具・装備品","22.4120235607355","338.434160225311","130.22737013866484","13.37293661196787","49.288748252627855","284.9948308672065","8.511187460367397","7.939613896271719","5076.819128986848","5932.000000000001"
"163 パルプ・紙・板紙・加工紙","-1.8707581588391042","78.2171180981434","54.47318760635848","7.2689043029231275","14.66391930935149","36.00394842264222","-8.406054096037769","1.9552085660572196","1194.6945259494007","1376.9999999999998"
"164 紙加工品","114.87541194172907","1006.2346066577833","292.7372406081449","23.75389559873848","45.169953924481334","71.13224903228647","-8.607162998982952","8.1545070557541","4753.549298180068","6307.000000000003"
"191 印刷・製版・製本","55.782365926007216","1413.352907928061","611.2891000397293","129.516453739606","54.04015290541759","94.8786510438516","7.834898401245465","5.8579119143284535","3027.4475581017537","5400.0"
"201 化学肥料","0.8464237892130452","18.58612473840734","0.6585157481801874","0.03176017730251148","1.6292691965968462","1.3373944542756797","-0.6092547022986711","0.7753354662246414","259.7444311320983","282.9999999999999"
"202 無機化学工業製品","9.368298477108162","195.5476872410947","62.45800197071003","10.503685904264183","25.36557935430941","32.132049820124735","52.165657559914365","36.036965840700994","6419.422073831773","6842.999999999999"
"203 石油化学基礎製品","0.34114638393064967","8.611858767584044","3.7819674208513137","0.25759368146800027","0.556209154823313","0.9679056670283965","62.007797959208695","116.15914118692663","8974.316379778184","9167.000000000005"
"204 有機化学工業製品（石油化学基礎製品を除く。）","1.6487820887050961","40.88481143420384","10.711062882807592","0.7442093564608844","3.016000056369571","5.36064737090808","23.22005384394197","257.25651380922545","12011.15791915737","12353.99999999999"
"205 合成樹脂","0.15103703009279087","3.544613328248581","1.1264765364954628","0.07669909485978321","0.5694730635417671","1.1273479088265699","2.494302933975906","9.810043766398074","671.1000063375615","690.0000000000005"
"206 化学繊維","0.01265770035126317","0.3672367137185573","0.030411078674221437","0.0049322310726616974","0.010161953062119953","0.060237397601736416","0.199162832954696","0.17098200051063098","13.144218092054182","14.00000000000007"
"207 医薬品","6.2799384693759635","88.64616693445741","240.18399745262903","0.4134204471112619","0.059251482408893094","0.08153369019781424","4.846387475272254","0.9262864120952876","2572.56301763645","2913.9999999999977"
"208 化学最終製品（医薬品を除く。）","75.73365836035765","1999.9669987963432","213.46443420465596","17.167827178232677","96.14998264340859","169.2083802602974","311.30078095375006","256.4880711662786","55054.51986643671","58194.00000000004"
"211 石油製品","131.24438970013048","9431.695850370079","958.9966529206919","198.1522369181003","635.2752594903437","519.0490282543317","2218.3719705070866","362.5182370592893","191176.69637477983","205631.99999999988"
"212 石炭製品","1.7313538201583383","47.43496958612691","10.453645504306449","1.336297794989655","191.7809865831805","38.64998885850468","50.80412866329968","7.820541800957018","4765.988087388479","5116.000000000002"
