"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"011 耕種農業","0.009776874295167296","0.008369708366911761","9.553975476499123E-4","1.3357419178315725E-4","0.0012015636151906416","0.0028129005636035615","-6.620534128818604E-6","0.0017600027771962972","0.005172162398334958","0.005399345621927665"
"012 畜産","0.0016394359154768827","0.0010821065419766576","1.750803977796043E-4","3.4478544792475513E-5","7.2329059221650485E-6","4.951842654787187E-4","3.212020994053375E-5","2.398943455555326E-4","7.842143394042766E-4","7.633252615332711E-4"
"013 農業サービス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"015 林業","6.07930930986758E-4","3.873831868201042E-4","3.804774342192574E-5","1.2183227776388874E-5","3.341076720048158E-4","4.661405842368511E-4","0.02250136432692298","7.22794047822146E-5","0.00102168756846955","8.440327328023598E-4"
"017 漁業","0.004265277742305211","0.001975188393124899","3.484033725646082E-4","3.587791297057935E-5","8.652339462661378E-6","1.4615404100498779E-5","0.0012197049370866414","3.473129821121129E-4","0.001269512454300365","0.0012927410026173857"
"061 金属鉱物","1.5790214170192317E-4","2.1585047443887655E-4","2.914068811279237E-4","2.345507584679402E-4","0.00208928695093581","6.943917172685177E-4","0.029448538054549323","0.012726367465047888","0.027566898284867733","0.012318708276132632"
"062 石炭・原油・天然ガス","0.010818443466228856","0.02378312330092571","0.009590290275903074","0.010697851449906511","0.02185901561612698","0.006475265134445735","0.40875560719962883","0.10506138112451549","0.19035823160553414","0.0957898181602234"
"063 非金属鉱物","-3.23562273623653E-4","-1.6310834364541797E-6","1.4662203752021985E-5","2.4428952542832592E-5","0.010924997837723044","0.002261365967058306","-6.591045275409241E-4","4.289717004760035E-4","1.3014122040783306E-4","5.580029275806019E-4"
"111 食料品","0.06549961733913436","0.057429641887534244","0.005592573399399481","8.90399152445196E-4","8.821732865853731E-5","7.423484889607466E-5","0.0199388965075947","0.004145423038904166","0.008828233843767443","0.024089679741382306"
"112 飲料","0.03823579430297828","0.015578261092269674","6.819986576429E-4","6.135440718368164E-5","3.146300412585583E-5","2.2804628229833542E-5","0.0017038527778556877","1.1813978767746427E-4","0.0019340838877833844","0.006496556586519357"
