"""","011 耕種農業","012 畜産","013 農業サービス","015 林業","017 漁業","061 金属鉱物","062 石炭・原油・天然ガス","063 非金属鉱物","111 食料品","112 飲料","113 飼料・有機質肥料（別掲を除く。）","114 たばこ","151 繊維工業製品","152 衣服・その他の繊維既製品","161 木材・木製品","162 家具・装備品","163 パルプ・紙・板紙・加工紙","164 紙加工品","191 印刷・製版・製本","201 化学肥料","202 無機化学工業製品","203 石油化学基礎製品","204 有機化学工業製品（石油化学基礎製品を除く。）","205 合成樹脂","206 化学繊維","207 医薬品","208 化学最終製品（医薬品を除く。）","211 石油製品","212 石炭製品","221 プラスチック製品","222 ゴム製品","231 なめし革・毛皮・同製品","251 ガラス・ガラス製品","252 セメント・セメント製品","253 陶磁器","259 その他の窯業・土石製品","261 銑鉄・粗鋼","262 鋼材","263 鋳鍛造品","269 その他の鉄鋼製品","271 非鉄金属製錬・精製","272 非鉄金属加工製品","281 建設・建築用金属製品","289 その他の金属製品","291 はん用機械","301 生産用機械","311 業務用機械","321 電子デバイス","329 その他の電子部品","331 産業用電気機器","332 民生用電気機器","333 電子応用装置・電気計測器","339 その他の電気機械","341 通信機械・同関連機器","342 電子計算機・同附属装置","351 乗用車","352 その他の自動車","353 自動車部品・同附属品","354 船舶・同修理","359 その他の輸送機械・同修理","391 その他の製造工業製品","392 再生資源回収・加工処理","411 建築","412 建設補修","413 公共事業","419 その他の土木建設","461 電力","462 ガス・熱供給","471 水道","481 廃棄物処理","511 商業","531 金融・保険","551 不動産仲介及び賃貸","552 住宅賃貸料","553 住宅賃貸料（帰属家賃）","571 鉄道輸送","572 道路輸送（自家輸送を除く。）","573 自家輸送","574 水運","575 航空輸送","576 貨物利用運送","577 倉庫","578 運輸附帯サービス","579 郵便・信書便","591 通信","592 放送","593 情報サービス","594 インターネット附随サービス","595 映像・音声・文字情報制作","611 公務","631 教育","632 研究","641 医療","642 保健衛生","643 社会保険・社会福祉","644 介護","659 その他の非営利団体サービス","661 物品賃貸サービス","662 広告","663 自動車整備・機械修理","669 その他の対事業所サービス","671 宿泊業","672 飲食サービス","673 洗濯・理容・美容・浴場業","674 娯楽サービス","679 その他の対個人サービス","681 事務用品","691 分類不明"," 行和"," 感応度係数"
"011 耕種農業","1.0106052714093097","0.022312765798739597","0.004271646740095481","0.0016998980987857244","0.00122109465710526","0.0","0.0","5.126077037153898E-5","0.08300483074130517","0.006574050569664169","0.1379641280626808","0.0","0.0029661514405612617","0.0012571386517759224","1.8830771038009958E-4","3.6246396989359136E-5","1.5363671400758287E-4","3.7176280753824226E-5","2.8853759000266188E-5","1.7230478127569244E-5","3.225274057113381E-5","6.1470842007079E-6","3.464729972040914E-4","4.59185733074783E-5","1.981045901011552E-5","0.0012862360052608493","8.716446183630606E-4","1.5660814693405205E-6","4.933750006038462E-6","1.7848670540148633E-5","0.021658381388471048","0.0038084582138800467","8.65209945903185E-6","2.9197118095583116E-5","4.169856133361168E-6","3.333264807764689E-4","9.545390104902838E-6","1.8951344025587517E-5","1.858405581727933E-5","1.6892838007522096E-5","9.178952330104945E-6","6.827220731142955E-5","2.837182032555397E-5","1.703128137001953E-5","4.987828924251886E-5","6.557957252114402E-5","3.071605876212621E-5","4.2698162837898605E-5","1.7281687926763917E-5","4.877800225924416E-5","4.430085562308178E-5","2.144735434883816E-5","2.1746844725362723E-5","1.3421530877834827E-5","1.0102070279324677E-5","0.0","0.0","6.176659091822526E-5","9.287698703578969E-5","5.4965020260179486E-5","0.0025807319439738324","2.259951691354005E-5","3.610783521844241E-4","2.4888406184543306E-5","0.0010422809585167152","5.649379220786892E-4","1.434897599132734E-5","9.936550386360268E-6","2.6786491548093736E-5","4.9880220545636526E-5","6.98144182520618E-5","8.256362348474463E-6","1.1267661126380525E-5","1.0991625077379506E-5","4.8225081738257545E-6","1.1014560107604054E-5","1.9611121035996532E-5","7.299217983001651E-5","2.0662915773851187E-5","1.9446629695067587E-5","1.5160258701302802E-5","1.6970089011609364E-5","5.52066324236411E-5","5.3306564994277266E-6","1.3103284338865444E-5","7.334085645456235E-5","1.9196837944076828E-5","1.6558041616722577E-5","6.854771858175225E-5","2.783003853775212E-5","7.04477459575275E-5","6.16745145703022E-5","3.315686549066952E-4","1.9009380006152712E-5","0.002776934465953897","0.00215537608724374","7.392148228833312E-4","6.610664275027096E-5","3.365030272001326E-5","1.9315997003698825E-4","1.6906735708892964E-5","0.009082455989374497","0.012486520570292812","5.487193986427839E-5","7.82131858723856E-4","0.003495571827398362","1.1874117354578761E-4","2.7133030003688403E-4","1.3396403580491405","0.9904506399023782"
"012 畜産","0.0015202457894225143","1.0177911938978366","0.008000249751868908","5.94526924964386E-5","1.3094559454071398E-4","0.0","0.0","4.8299981881898185E-6","0.011495124700224593","3.8273849450198437E-4","0.0029547624155178407","0.0","2.7407253666788937E-4","1.474203645044377E-4","1.1924182197435663E-5","7.509507466496115E-6","2.145894853530104E-5","7.2349490688485115E-6","6.903585869662919E-6","1.4295090284615058E-5","4.8115527025979745E-5","5.923973085342863E-6","3.5839102207246505E-5","3.7759796852494656E-5","1.9827506391087535E-5","1.7733868958782058E-4","1.4560687267610925E-4","1.7454572688751835E-6","1.5233008824977357E-6","1.4677181728073587E-5","5.015524854559021E-5","0.01608667279742463","1.2832689099744316E-5","9.971355309595534E-6","2.410112981718897E-7","1.455236721078918E-5","3.840607324074913E-6","1.0094072275542368E-5","8.818643169158856E-6","9.694611466589758E-6","1.0545391437741532E-5","1.2337415456433173E-5","9.9578273232276E-6","6.235716619492092E-6","2.5478257072839645E-5","1.5251815380018687E-5","2.9784002324570578E-5","4.007581743696978E-5","4.296603403915574E-5","3.70920146465258E-5","3.5033125519931574E-5","3.927748592619069E-5","1.3940325634709827E-5","3.336701867166283E-5","4.0075423292675805E-5","0.0","0.0","2.5942586458401864E-5","1.0440891121636463E-5","6.364795031730948E-6","7.17398752282094E-5","3.4398241713015575E-6","3.5971842992433546E-6","3.0643027774266224E-6","5.052775731499846E-6","4.329392619280759E-6","3.6883706237654103E-6","8.793090871068935E-6","2.011139996258696E-6","1.2223650031500228E-6","2.987410038865254E-6","1.127610728953713E-6","1.059418097841633E-6","1.46033478364321E-6","2.996395757039786E-7","3.469261541401758E-6","1.67984927101811E-6","1.6363727027334907E-6","2.2619890189774577E-6","2.2985315670609774E-6","1.9784391362657787E-6","3.399132829624702E-6","2.5140078757210007E-6","6.886820917959585E-7","1.1854092568834585E-5","6.57698716047846E-6","9.537957729545225E-6","1.7050252765066904E-5","6.581241148098216E-6","1.8317532888265654E-6","5.394801784296334E-6","5.705355405110624E-4","4.9918766306899973E-5","3.415571676640247E-6","3.869017051710533E-4","3.4913902901559363E-4","7.469327256736209E-6","4.998143880973471E-6","3.5095818295597103E-6","3.2051043975421208E-6","1.8135271168547142E-6","0.001349221419119084","0.002580231203166572","2.793652716471384E-6","1.1634635441769337E-5","1.4892311834637417E-4","5.325252570849998E-6","5.461451389515951E-5","1.0656860354328614","0.7879050592851639"
"013 農業サービス","0.03754838835616642","0.10507266883844796","1.0009781039437047","6.9262624519976E-5","5.900050497440211E-5","0.0","0.0","2.6962238124442943E-6","0.00424884790649797","2.82659422789506E-4","0.005407460323603642","0.0","1.3796437811952747E-4","6.180577706414061E-5","8.473085388810612E-6","2.3195360755777532E-6","8.041119929032196E-6","2.2854356217931838E-6","1.9346599840516025E-6","2.2748423649871955E-6","6.583973775839667E-6","9.213659188533764E-7","1.683636175097723E-5","6.1344210517007515E-6","2.83942610265232E-6","6.633805596208627E-5","4.771571556200198E-5","2.6199605491997124E-7","3.9789946170977156E-7","2.3153926000020983E-6","8.071867204505575E-4","0.001788987249102435","1.7274143974585356E-6","2.6954922283034763E-6","2.1315386885958757E-7","1.4099195785616569E-5","8.833123304159071E-7","1.9027540467697958E-6","2.189769779701275E-6","1.8876081769978153E-6","1.6194730643075416E-6","3.988172688419695E-6","3.162217485182805E-6","1.7632990259402958E-6","5.109611015383139E-6","4.678005814295451E-6","4.56614092239463E-6","5.845228172992717E-6","6.417653486126945E-6","6.446578384893069E-6","6.710085711396609E-6","5.44968061615295E-6","3.294497589258196E-6","4.863431553842803E-6","4.660951723803211E-6","0.0","0.0","5.1518719747654314E-6","5.017273521717316E-6","3.0721809471817292E-6","1.0325968130183062E-4","1.3822987334989054E-6","1.4339348890250331E-5","1.7523609678188974E-6","3.9611449597854454E-5","2.1878441990812012E-5","1.4787759742717066E-6","1.7072947051457533E-6","1.6779362164986592E-6","2.2485468527485347E-6","3.4535707913851703E-6","9.893001347238427E-7","8.493499594109894E-7","1.0523732744070602E-6","2.807287868368222E-7","3.84412469007569E-6","1.2436833995197859E-6","3.2085128922221764E-6","1.3367028758274692E-6","1.4772607878716367E-6","1.4822266750104376E-6","1.5624643344228724E-6","2.832226394639495E-6","6.175899816793043E-7","6.743764721752063E-6","5.9245672512647146E-5","3.943034218938846E-6","8.551539925444196E-6","4.887913041529119E-5","1.4693608312450068E-6","5.005792066081589E-4","6.11539985032654E-5","1.7687326863403343E-5","1.4631600357699578E-6","1.429217185332933E-4","1.1574112518348181E-4","2.8661684862408184E-5","3.444444004801073E-6","1.938919443133221E-5","7.734705819781427E-6","1.8353221176542166E-6","4.770576772862664E-4","7.270869439146186E-4","3.5126086246540958E-6","0.00109218533651889","1.4612716451013145E-4","5.0963964618366185E-6","3.419526484306003E-5","1.1604763926431283","0.8579874283265121"
"015 林業","6.49447153829511E-5","2.9129612557828295E-5","4.761869693385935E-6","1.053141128037537","1.3640382675548696E-4","0.0","0.0","2.4435132012201107E-5","3.664101642773268E-4","1.6140426517709305E-5","5.155925752388844E-4","0.0","1.9043743692084824E-5","1.131350644185229E-5","0.0764774275244086","0.0028901941216437667","5.951936429131105E-6","9.229737935809099E-6","3.4343408659837002E-6","6.666813912442756E-6","8.620168853790182E-5","1.8078539809539332E-6","8.55023392996919E-6","5.810956803610145E-6","1.806347595320301E-6","6.750857246471934E-6","5.016961500694607E-5","3.960371687640813E-7","1.3145646280262554E-6","6.3156686419997365E-6","7.657687816563352E-6","0.0041376479760568685","4.933022882534781E-6","1.0855390686815668E-5","8.562800720340561E-7","5.053632045418176E-5","3.3727818747199884E-6","4.926219878218724E-6","6.912908787096412E-6","5.850420188079972E-6","5.1196075326020565E-6","3.9953033221121954E-5","1.1628808991679147E-5","2.0105749354404115E-5","1.149552150620157E-5","6.240639545166677E-6","8.067459517475616E-6","2.546077929907904E-6","7.664304384268738E-6","6.8807790318853E-6","9.341831989699383E-6","3.1014195185887594E-6","7.018886167187911E-6","3.2579891186836455E-6","1.6377080743863898E-6","0.0","0.0","6.974186379991992E-6","4.20115439876719E-5","4.1272988783667724E-5","7.166923289060749E-4","2.690805069779461E-6","0.0010734850099981081","2.701047511423257E-4","5.5318089565720754E-5","7.680528023025021E-5","1.535245508813988E-5","1.1234328641549622E-5","1.5058639659005374E-5","5.277741091294452E-6","1.4289262676144462E-5","5.0598738294176324E-6","5.466076630649928E-6","7.455855423757432E-6","1.1131509492055716E-5","8.914798358268788E-6","3.146445950457736E-6","1.3417284857806311E-5","1.021985699587145E-5","1.5949701350731715E-5","5.298712894608462E-6","1.6451309853342242E-5","8.710916940532298E-5","1.4001993854468221E-6","6.687108124487837E-6","1.0623604153318173E-5","4.58204510283775E-6","7.522112173964772E-6","1.0744889369633065E-5","7.909263563441979E-6","5.440093925888921E-6","7.624093573720829E-6","1.2389035779682312E-5","7.839016284857578E-6","1.093175553830327E-4","1.0570219286795746E-4","1.2830688784891211E-5","4.848266663692767E-6","4.060951706597641E-6","3.723933061341324E-6","8.406836331989135E-6","8.102296481706905E-4","9.450823811719059E-4","9.497518316915886E-6","1.851684149579329E-5","1.1058018561404596E-4","1.804508763786058E-5","5.791120854330178E-5","1.1431066434968722","0.8451452658360461"
"017 漁業","2.2047330523358463E-6","2.8024419832779572E-5","1.997185529038037E-6","3.000067291969704E-5","1.0083559965521758","0.0","0.0","1.3224738840974386E-6","0.006334321842119483","2.0594383726497845E-4","7.110110403193358E-4","0.0","1.7779625640266382E-6","7.24360396251093E-6","5.618767081111603E-6","2.7382149678093765E-6","1.0827889656940278E-5","1.8816451348770295E-6","1.4444327616072413E-6","3.9855118405507703E-7","1.3010330672906593E-6","2.311607483544179E-7","6.977748636141378E-6","1.5696912088333155E-6","4.5151154593336455E-7","3.464205152701689E-5","5.517726174201329E-5","5.766510325822396E-8","1.3938982478337459E-7","5.825729484412485E-7","9.09638094725818E-7","2.631267331442387E-4","2.681529037172565E-7","8.20451121888937E-7","4.507872316421302E-8","5.481097833829258E-6","2.433351760962952E-7","9.100925173751562E-7","1.6992243301209516E-6","7.436863192057495E-7","2.721657972940607E-7","5.587570191899649E-7","6.899061746294704E-7","6.399166856537192E-7","9.277783980672122E-7","7.536545967455284E-7","1.2222365266369807E-6","3.657763839789151E-7","8.097578004865813E-7","7.813995142150711E-7","6.206476351038202E-7","1.5280467233265407E-6","7.243416109202921E-7","1.2896074385747785E-6","4.2562211398128906E-7","0.0","0.0","6.174613112954246E-7","1.468136866178873E-6","1.0704206869665313E-6","0.0019061388628416743","3.2844370581550986E-7","1.3373557615562366E-6","2.584534556120886E-6","1.5493303395848724E-6","1.4791762922593189E-6","3.5540380620332264E-7","3.856194453099117E-7","9.38732845091034E-7","6.990483917021478E-7","7.28947492080503E-7","5.71995601322408E-7","7.222321683732988E-7","8.796521860112508E-7","2.193014127550416E-7","8.352337234115981E-7","4.983681116368942E-7","5.141560657015464E-7","6.192307564008892E-7","9.339254492224063E-7","6.55397205522176E-7","8.568117408733243E-7","1.1239788718572544E-6","2.703957659601832E-7","1.1246038143587526E-6","2.43655141569849E-6","1.8043871678669742E-6","1.1105731889113943E-6","5.907734278124169E-6","1.928295199890772E-6","1.4672608689126387E-6","3.156231179365418E-6","3.647193468175175E-5","1.111331486879788E-6","3.182317359691922E-4","2.9509509405133177E-4","4.2321992998459056E-6","2.162021176875941E-6","1.736676199640221E-6","9.189510166879906E-7","2.076610420123452E-6","0.001230447732815021","0.001968198082026777","2.197817935075443E-6","8.766920872426792E-6","1.376521707331851E-4","3.789449112330469E-5","3.113389473364882E-5","1.0221153864704013","0.7556915051872009"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.7393406998761429"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.7393406998761429"
"063 非金属鉱物","1.1886460878408958E-5","6.1938294082638455E-6","9.353086139740472E-6","4.8109050141586714E-5","-4.541267332293243E-6","0.0","0.0","0.9999936952641917","2.621945917521806E-6","2.9225921823334955E-6","5.400607497239202E-6","0.0","1.0004484227919095E-5","2.232413861860876E-6","5.251856763916243E-6","6.300113491045059E-6","6.437074537560386E-5","7.904460366017766E-6","3.853838445871732E-6","0.0012283637436592","8.697242395684426E-4","-3.2568935122720724E-5","7.459114292758382E-5","1.6399731509915494E-5","3.773287433273273E-6","3.271274289366941E-5","5.112871706916114E-5","-1.7836625992485806E-4","2.9672859421747813E-4","5.108470225650157E-6","4.043033657886171E-5","3.273241483890285E-6","0.006313475697063164","0.012582044101494523","-6.5626214990173504E-6","0.011239044225863035","-4.472138922024976E-4","-1.834434766608746E-4","-3.900736423799081E-5","-7.65478506957063E-5","1.3996134393028325E-5","7.4847029562787406E-6","-2.4262696980738795E-5","-1.121956697871191E-5","9.461241466350658E-6","7.197744714431206E-6","6.6678500034964385E-6","3.303991154604805E-5","8.430203216637137E-6","2.8318609802233646E-6","-9.156191260082306E-7","4.577886036127638E-6","2.9079345673571168E-5","3.7675399712822396E-6","6.987632151759329E-7","0.0","0.0","6.756993847079251E-7","-1.2987011192810724E-5","8.8397030316459E-6","4.116975277567327E-4","-1.4110003671202514E-6","5.047994269878506E-4","3.1421012734064014E-4","0.0029514760293764364","0.002613428698515838","3.600342729604837E-6","8.849023797731427E-6","2.640089619218083E-5","4.928355542483053E-6","1.4890827150669092E-6","1.6296040143777424E-6","4.666752712916041E-6","7.4465913561035205E-6","1.3154991588633775E-5","7.757515151256057E-6","-4.545715834203401E-6","-1.7845956008666056E-5","-7.44417620889273E-6","-1.192496935272292E-5","1.0203480900035234E-6","7.069265712398966E-6","8.11978834573424E-6","5.368524410498153E-9","3.2386912239368066E-6","5.4043398958070814E-6","1.1361072190197694E-6","4.643328741231949E-6","4.667107602536335E-6","4.66922442787107E-6","5.366419039573524E-6","4.572795282353131E-6","1.8800495149766053E-6","6.382642648139362E-6","2.74940759877286E-6","1.924562673626426E-6","1.441949983917555E-6","1.6360986846602988E-6","1.5825537881893228E-6","2.1515383657943117E-6","1.918294791984454E-6","-5.261786840416753E-6","-3.1711283377751497E-6","2.5571907326542755E-6","8.990094552659737E-6","7.5402840145344315E-6","2.165885977497429E-5","7.635294475849438E-5","1.0390686205343276","0.7682257211251882"
"111 食料品","2.3842003287130912E-4","0.0035839182539175087","1.49417765518421E-4","0.004848586244837239","0.011142066198108199","0.0","0.0","6.880675446551596E-5","1.0434467749961986","0.03384869768129953","0.07464756184603562","0.0","2.27931201974406E-4","6.527303151609121E-4","7.922196893106021E-4","1.575214067904779E-4","0.0017362368844173173","2.6860230861373206E-4","1.966443528669396E-4","3.0091656286502472E-5","1.2379521042045166E-4","2.361865623762766E-5","0.0010830047505291582","1.9323055797735442E-4","5.196674153965865E-5","0.00244971933880905","0.009004821286982765","4.7685254433326445E-6","7.660792699704821E-6","5.2596165784124556E-5","7.802878337320046E-5","0.042945337796512","2.0553678289776232E-5","3.817344384194528E-5","1.126316007846451E-6","8.265169622241999E-4","9.180758740237206E-6","1.2592931201734482E-5","3.6593517631870005E-5","1.4759805555604134E-5","7.93980520001127E-6","2.318655334454524E-5","5.1225810727682455E-5","4.3015502354944387E-5","3.544495879302964E-5","2.981052757376258E-5","5.302411643083569E-5","1.203849550752738E-5","2.829046975682033E-5","2.837907138540253E-5","2.6200141934095167E-5","2.5303703747321585E-5","4.5464421036451394E-5","1.4305351952296762E-5","2.5107424792290904E-5","0.0","0.0","4.467057660818251E-5","1.3453910525278127E-4","8.304184060524933E-5","8.940854635456951E-4","9.352418766011772E-6","5.507690345666612E-5","5.8644705238421036E-5","2.910808493012247E-5","3.0600751396224414E-5","1.1403154629880215E-5","2.522508539160867E-5","2.666579539106782E-5","2.03835087515623E-5","1.6106328083298787E-5","1.1680600954909144E-5","1.5285648503906452E-5","2.3253381138654894E-5","4.766997611417633E-6","2.309964961723465E-5","1.3685815562739025E-5","1.8331719622917504E-5","1.5970281173472612E-5","3.1599995154255496E-5","1.5735718852166728E-5","2.5146202532673205E-5","7.644433867508529E-5","4.832454835415818E-6","2.3605085851673977E-5","3.2100274250397356E-5","2.1484296189344667E-5","2.3399799565909556E-5","8.54344524558648E-5","8.632139052539092E-5","2.7291446179253957E-5","6.062029431446969E-5","8.080334279782428E-4","6.614128039804195E-5","0.006219151776012782","0.005473899089784545","3.8889775680442737E-4","2.8701317228345902E-5","3.944936871579627E-5","4.0806323087375296E-5","3.2737501182301025E-5","0.022512700877360247","0.04524617030427356","9.539569049061002E-5","4.812681300733289E-5","0.002504602464814538","1.647049008905125E-4","9.161605545083753E-4","1.3201276829751636","0.9760241250567284"
"112 飲料","9.371646135255626E-6","9.697694793760935E-6","1.0305242079032984E-5","7.671390860465436E-6","0.0022132530677226414","0.0","0.0","5.34472569846116E-6","3.0429211674443834E-4","1.0196430389013953","2.5526504854562285E-5","0.0","2.743124464078431E-6","3.835365975943302E-6","5.239090608150856E-6","3.5873847760940812E-6","5.0627242519417725E-6","3.3075824954835207E-6","3.02850184836269E-6","1.5426237477957626E-6","3.553483596615794E-6","6.277110861109095E-7","1.3876455773704778E-5","3.1887055630558246E-6","1.4504205849547578E-6","4.344259133287109E-6","5.727214450485123E-6","3.157777070542139E-7","1.1149655029349924E-6","2.613110959573182E-6","5.184355679865718E-6","2.12569418939695E-5","1.5162561351407303E-6","5.91798067465369E-6","1.4233279158921279E-6","3.3691023692635523E-6","2.4692357246119165E-6","3.043950086271824E-6","5.821726315449341E-6","5.728873706446266E-6","2.5020911179187627E-6","3.546714401454322E-6","3.12561262298712E-6","3.758025139023396E-6","8.252147504855186E-6","5.704619604898895E-6","3.631798737846371E-6","1.638771603780064E-6","2.03983044877562E-6","3.6391967984632816E-6","3.2268461333450403E-6","2.696239103870659E-6","2.6943756662180026E-6","2.751759811942492E-6","1.3754416643772854E-6","0.0","0.0","1.5456481744769743E-6","6.327321321498001E-6","8.594045462412082E-6","7.663539348304734E-6","2.6896690105559686E-6","9.747266463851477E-6","9.846049440447643E-6","8.037958354203315E-6","8.592297100259703E-6","2.9959541370068993E-6","1.898599483420997E-6","6.832072753176045E-6","1.7924194972126174E-6","2.3968787383597557E-5","3.3447745066138738E-6","5.201830218577763E-6","9.841362660914813E-6","9.477585640114238E-7","9.940750105048043E-6","4.7088486239057124E-6","6.702154424951935E-6","5.501512891834403E-6","1.6601312050103895E-5","5.408901696131901E-6","7.792712121383032E-6","5.086379419406378E-5","9.167670976328552E-7","6.362130917916086E-6","5.0192893226361145E-6","4.269208883700656E-6","6.65833896988105E-6","7.412014227166859E-6","6.444987432145113E-6","7.470447607335112E-6","4.777208546430351E-6","1.3561335323903685E-4","7.615852102386155E-6","5.590560129952284E-4","6.316437807874823E-4","4.765629721935834E-6","5.149665968662198E-6","3.3603014055171388E-6","5.060693511907251E-6","1.0609753791250384E-5","0.0056944731683702355","0.015235467516384221","4.48967131616628E-6","3.223659835467021E-6","4.5474533636557623E-4","4.908531622030379E-6","4.4825100386167047E-4","1.0458851266779436","0.7732654415481193"
