"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"011 耕種農業","0.006532311056453407","0.0055921286143050235","0.0006383383661695325","0.0000892461274942694","0.0008028115174214428","0.0018794085816787277","-0.000004423437080570016","0.004170899227425246","0.03478445636894211","0.017002110713593047"
"012 畜産","0.000998994159130855","0.0006593841850033641","0.00010668565517503308","0.000021009582953412046","0.000004407388359357764","0.0003017417053248142","0.000019572526024182032","0.00025314349938901874","0.001492591582739174","0.0008989959421989201"
"013 農業サービス","0.0004255488481930486","0.0007157931611445027","0.00011147523262157918","0.00006670686431701157","0.00003066484514463167","0.0001007971323539148","0.000001909202138732893","0.0001806260960544548","0.0014444160547290518","0.0008760946049503529"
"015 林業","0.00045697203401455966","0.0002911897944341988","0.000028599884978644408","0.00000915793899284321","0.0002511434353374523","0.0003503904803292346","0.01691391850697037","0.00005433128162615194","0.001952329209127208","0.0011406445352355233"
"017 漁業","0.0009254897092650032","0.0004285808901881269","0.00007559735976478239","0.00000778487152544275","0.000001877404384323348","0.000003171283773058745","0.00026465436386876885","0.00135892050336274","0.004962577170842355","0.0022857113976638747"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"063 非金属鉱物","-0.00006419959066237781","-0.000000323631330018223","0.000002909200348193437","0.000004847069270457302","0.0021676828429787296","0.000448688803540298","-0.00013077618845349224","0.00019207770785745757","0.0006329593564456469","0.00037036990239923883"
"111 食料品","0.02382909093999125","0.020893193193840885","0.002034606392169611","0.00032393169973270744","0.000032093908827027726","0.000027007012210499895","0.007253871051833957","0.008567704361186024","0.03350691417062099","0.021722787051678665"
"112 飲料","0.009475984905661162","0.003860763707354123","0.0001690198700802694","0.000015205475575096654","0.00000779748289837781","0.000005651675787686848","0.00042226619058811373","0.000991948412566382","0.017186873390380244","0.008752417275631646"
"113 飼料・有機質肥料（別掲を除く。）","0.000030251265000433973","0.00005713888481770826","0.000010322602375463458","0.000006418980914407529","0.000002511098297735179","0.00000790903998513221","0.00000459959165983748","0.000015353974357777275","0.00046718350944103366","0.00022048459861379006"
"114 たばこ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"151 繊維工業製品","0.00006169202463137733","0.00007615261651434881","0.000028718189111007763","0.00002839441302234908","0.00004679770104262154","0.0001468087351634928","0.0002443875653444785","0.07988037332911742","0.013903112557491057","0.006103601227385327"
"152 衣服・その他の繊維既製品","0.00042612643555593787","0.0006941717726665363","0.0001522368683316476","0.00017286752572281136","0.00009466220583201756","0.0003137466477993212","-0.0004153226953210493","0.001665717389062648","0.007763208020800391","0.003590929680575306"
"161 木材・木製品","0.0002479329485837679","0.00013978154007953414","0.00007349137972152669","0.00007680397309754794","0.003191144173179434","0.004734703947567647","0.00017803619968659768","0.0005726716466904285","0.009128400133213775","0.004400689377633266"
"162 家具・装備品","0.0006984419802831135","0.00045771356459253955","0.0005434397724613703","0.0003786777806237567","0.0006716936184243524","0.0017552116574909569","0.000371924501771208","0.0023530394782455516","0.0051979978996803036","0.0025959060621892926"
"163 パルプ・紙・板紙・加工紙","-0.00014310201987983396","0.00025965712981112577","0.0005579699243263514","0.0005052319881502444","0.0004905150610577308","0.0005442788941988184","-0.0009016451804763774","0.0014223345935992953","0.0030024800716066066","0.0014791105057436551"
"164 紙加工品","0.0037499740157271567","0.0014255115884988978","0.0012796141567775724","0.0007045791582548012","0.0006447999466979472","0.00045889250438802513","-0.000393982174987876","0.002531508880839306","0.00509817011428548","0.0028910964023104776"
"191 印刷・製版・製本","0.0012879326183488277","0.001416175754387117","0.0018899170746082378","0.0027171582259550194","0.0005456158147511973","0.0004329203096970142","0.0002536558894934758","0.001286232902119278","0.002296508117703682","0.001750767747588726"
"201 化学肥料","0.000028694901019759776","0.00002734488136539819","0.000002989392359886472","0.00000097834844868793","0.00002415371210171244","0.000008960239848882289","-0.0000289621720464955","0.00024996953726069574","0.00028930654517621545","0.00013472303912432865"
"202 無機化学工業製品","0.0003819048349822634","0.00034595327592852257","0.00034094349547974785","0.00038907196323535146","0.00045218212703087754","0.0002588666575855455","0.0029819097356415013","0.013970862599648423","0.008597763856443291","0.003917234251303164"
"203 石油化学基礎製品","0.00003557005543818383","0.00003896825824380324","0.00005280334533262501","0.00002440465925121471","0.00002536039836884467","0.000019944357464700514","0.009065785679309891","0.11518017341574231","0.03074257843592238","0.01342176303022914"
"204 有機化学工業製品（石油化学基礎製品を除く。）","0.00010723415807882485","0.00011539904386083953","0.00009328296446621706","0.00004398036038072608","0.00008577789797802309","0.00006890176900965157","0.0021176221801534043","0.15911709134486407","0.025665510459645137","0.011282778131212968"
"205 合成樹脂","0.00001030348358039966","0.000010493970478610427","0.000010290173111346917","0.000004754278922827846","0.000016988224875921677","0.000015198539502597323","0.00023859712857351236","0.00636432218006358","0.0015041218937302757","0.0006609799750707103"
"206 化学繊維","0.000000315241033680632","0.000000396921250473833","0.000000101419074266374","0.000000111615656975624","0.000000110672389259548","0.000000296481350776138","0.000006955231615750172","0.00004049663077662669","0.000010755183706801566","0.000004896147963486764"
"207 医薬品","0.00023126718353258633","0.00014167359364297214","0.0011844113928803897","0.00001383389094006012","0.00000095418374075611","0.000000593388285969947","0.00025026039498660135","0.0003244027162735076","0.003112574741149764","0.001506907990955708"
"208 化学最終製品（医薬品を除く。）","0.003456030310577602","0.003960789499518928","0.001304409694542452","0.0007118651164631308","0.0019187216916775318","0.001525997147356535","0.019919763868731007","0.1113105539141223","0.08254233113075318","0.037291116113254565"
"211 石油製品","0.005180103530618967","0.016155403344418565","0.005068444183535961","0.007106413004230669","0.010964625503931477","0.004048641489438986","0.12277428976163093","0.13607179603363764","0.24790642835701499","0.11396905760839277"
"212 石炭製品","0.0002853131342497592","0.0003392383072718624","0.0002306766248578558","0.00020009349005101028","0.013820242139928527","0.001258718325776982","0.011739519229375921","0.012256129540814934","0.02580382164908326","0.011838727835454055"
"221 プラスチック製品","0.000458505102313033","0.00045516627878983016","0.00018496245414978","0.00024117197545287612","0.0009389362487801801","0.0006332117445528479","0.00011985612125734587","0.018373527092952632","0.014096151438934154","0.006305132995172714"
"222 ゴム製品","0.00023772660674239489","0.000492168100122395","0.0003029556973488943","0.0003637728253839179","0.0006239093016218904","0.0002447809634259348","-0.0024703642665132794","0.006752737790536707","0.003762311675362222","0.0018306855175733786"
"231 なめし革・毛皮・同製品","0.00010997247044302866","0.00014584236560586625","0.000007084583028793958","0.000012878508782840278","0.000003456817390508589","0.000003149127181564534","-0.0001214456466485114","0.00043788827438035014","0.00025052646058393107","0.0001565187945746889"
"251 ガラス・ガラス製品","0.000005155852767172948","0.00000188301169966171","0.000002551272938991475","0.000001956107755167626","0.000005855142762660804","0.000009549437627065838","-0.000004229827919849306","0.00011721922833901377","0.0000149601352259688","0.00000837083361499349"
"252 セメント・セメント製品","0.00007667787484840774","0.00024565548820161824","0.00017746386837125478","0.00029537880467627326","0.028929963199767084","0.007594430228516338","-0.006085931903832972","0.0017267849312653826","0.005584839279490219","0.003900966404843838"
"253 陶磁器","0.000001549345371253224","0.000000520683192461415","0.000000739171266772811","0.000000302840247989417","0.00000270046810364053","0.000003786085444977563","0.000000082343838375061","0.000001692184332311035","0.00000258734369795045","0.000001737342825753338"
"259 その他の窯業・土石製品","0.00007645700538791149","0.00011947812826487657","0.00005873576555639006","0.00009160986967567552","0.0010537401963972143","0.0007991976685783384","0.0005059114216108463","0.007323876185686039","0.0032866449356422182","0.0015585544549576499"
"261 銑鉄・粗鋼","0.001052629826761257","0.0014388038688837991","0.0019738441657953317","0.0015794059343365438","0.014298503208857031","0.004738801853617847","0.21145747465580417","0.0850884617142307","0.18824158063724436","0.08420695354092574"
"262 鋼材","0.000653070068630759","0.0010513950473883154","0.0011285050897130303","0.0011997401830990708","0.026058233649629312","0.015943488027377863","0.19706101071647225","0.16720693391725922","0.18152757716827425","0.08226270897865091"
"263 鋳鍛造品","0.000000189436325169833","0.000000236994123527892","0.000000135567682526194","0.000000354850219378466","0.000007343296317482656","0.00001501315409006819","0.000008049011152827675","0.0001456800774005142","0.0005421937803067339","0.00023343569967849666"
"269 その他の鉄鋼製品","0.00004274463381670757","0.000050281654010168675","0.00004510139768044443","0.00007350923208606695","0.00043425492284583487","0.0004899156061376257","0.0014624373235604124","0.0056052321673136915","0.00796973034231944","0.003500745793893018"
"271 非鉄金属製錬・精製","0.000001356338749327303","0.000009020914223883543","0.00000120752192274704","0.000001045920101219905","0.000007480855456013414","0.000004220823801494343","-0.00002800128978858857","0.0006546961489465938","0.00029071982262890135","0.00012856336910574835"
"272 非鉄金属加工製品","0.00004049583038877485","0.00004087081905531582","0.00009348890309272983","0.00003649718126276858","0.0004308973396745299","0.0005433309772799724","-0.001088132241738615","0.04637002432435837","0.01545944702241757","0.006741679865207465"
"281 建設・建築用金属製品","0.000025496894462870187","0.00008800858009525105","0.00005772461999596007","0.00010392936726380155","0.00276328165997629","0.002305922723680568","0.00007410827232002013","0.0013473803243446764","0.012119991261622045","0.005471998140095536"
"289 その他の金属製品","0.0005484401479651745","0.00036647464177007625","0.00024845757136057257","0.000537244130740836","0.001319405012301608","0.0015103610313929692","-0.0006751629014339331","0.009458823999282117","0.009649362089762158","0.004441753844423795"
"291 はん用機械","0.00006120921509155731","0.0001638447430910787","0.00008012821033405813","0.00020289891576313253","0.001857811513396614","0.013267388035394656","0.006662722265287859","0.08725311890517626","0.08233275080989552","0.036453085110213876"
"301 生産用機械","0.00004600999623985531","0.00011976603623527995","0.00006252192784137238","0.00011177757538774102","0.0005404301993835567","0.010232362632694295","-0.0008937472088806959","0.07810418318017719","0.026636183457549742","0.01228301377807625"
"311 業務用機械","0.0001795736975026437","0.0002830109923595561","0.0011325142174160084","0.000957570799352916","0.0005620963798733084","0.003966896579981507","-0.000339161860241786","0.007738203010078317","0.0037406803916413362","0.0021344046315664444"
"321 電子デバイス","0.000000841065293220054","0.00000215310607104375","0.000001174446846941182","0.000001642690181732494","0.000002748994255027231","0.000005833375115710468","0.000010850309022541498","0.00036455688281114465","0.00004371321661352501","0.000020690173652153583"
"329 その他の電子部品","0.00007999799658094137","0.0002276207067446551","0.0001869824228075289","0.0004066142345822033","0.00017073427743989134","0.00020156534987589864","-0.00018705145277574854","0.011402384430835286","0.0042630773237182186","0.0019575115438533763"
"331 産業用電気機器","0.000010897596993643454","0.00003097076104605552","0.000016605160743571914","0.000029389160154813754","0.00039353950420525604","0.0028839339057676926","0.00008566663487339976","0.006023952764243729","0.001768376060189191","0.0009954974391566745"
"332 民生用電気機器","0.000001123522542660038","0.000003790610614742052","0.000000065402700151786","0.000000184874445115849","0.000000284682185729947","0.000002012097466528313","-0.000000516558981905345","0.00010698892348268831","0.0011385737487691094","0.0004881933340366943"
"333 電子応用装置・電気計測器","0.000000199623653373934","0.000000644815948085096","0.000002197299339249664","0.000005135788547622996","0.00003157279457489841","0.00008317337906142468","-0.000012852658480954039","0.0033195429286755787","0.00034685633764729607","0.0001604673009968558"
"339 その他の電気機械","0.00032613083841255325","0.0012688407198850722","0.0001496039967300725","0.0002115554155911414","0.002116901970794437","0.004124534562063798","0.014156175025929425","0.04232072961600282","0.010725343400558685","0.00558350396145752"
"341 通信機械・同関連機器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0004611731387340354","0.00019710944059456295"
"342 電子計算機・同附属装置","0.000000007057333495807","0.000002112777304088496","0.00000000906988039548","0.000000015879715695373","0.000002755453207207072","0.000009573633763495085","-0.000003885755553556264","0.0006418221150717673","0.0000683785599957899","0.000031588051377333794"
"351 乗用車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"352 その他の自動車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"353 自動車部品・同附属品","0.000000625627713064634","0.000001596654114465881","0.000000848274001268937","0.000001491799820494004","0.000001342293402801481","0.00000063207529954876","-0.000002512330616790453","0.0024617517738907513","0.0013800278205494884","0.0005941712464076486"
