"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"289 その他の金属製品","2.3807407909393915E-4","1.590841100426374E-4","1.0785371515022829E-4","2.3321396536941743E-4","5.727446001556743E-4","6.556372887403679E-4","-2.9308355085536596E-4","0.004106010147681118","0.004188721416343079","0.0019281346560724565"
"291 はん用機械","2.2049351876458528E-5","5.902167489191417E-5","2.886452803297297E-5","7.309013164637533E-5","6.692381158252766E-4","0.0047793017250156306","0.002400107687424181","0.031431128763552314","0.029658668075529058","0.013131468838071437"
"301 生産用機械","1.856018518756257E-5","4.831297529604221E-5","2.522100964690156E-5","4.5090473126709675E-5","2.1800663771455502E-4","0.004127680088888845","-3.605328203292425E-4","0.03150680769870797","0.010744893241998848","0.0049549017390485795"
"311 業務用機械","6.508450276512867E-5","1.0257420753123471E-4","4.1046726630927994E-4","3.470609571726049E-4","2.0372562295541396E-4","0.0014377578399252199","-1.2292546925146277E-4","0.002804626190866035","0.001355768281653046","7.735913782309046E-4"
"321 電子デバイス","3.0817659598902725E-7","7.889243619091603E-7","4.3033166910821913E-7","6.019017459783185E-7","1.007265070544329E-6","2.137419889725973E-6","3.975685748717496E-6","1.3357809446515225E-4","1.6017056469077867E-5","7.5811323305600915E-6"
"329 その他の電子部品","2.1016094631881968E-5","5.979772641282854E-5","4.912173379549089E-5","1.0682071549133886E-4","4.4853219892229E-5","5.295278192641003E-5","-4.9139868503940395E-5","0.0029954948932386385","0.0011199435021806133","5.142534764229945E-4"
"331 産業用電気機器","3.053332744847587E-6","8.677512931514207E-6","4.652501011129303E-6","8.234373605172313E-6","1.1026348793058577E-4","8.080322509258678E-4","2.400242379603744E-5","0.0016878154183173767","4.954707476271793E-4","2.7892249366185735E-4"
"332 民生用電気機器","3.282241527085131E-7","1.1073831721488427E-6","1.910664452832828E-8","5.400893689408348E-8","8.316661718348166E-8","5.878110683516877E-7","-1.509067488387338E-7","3.1255580040397134E-5","3.3262118898042887E-4","1.4262005196866222E-4"
"333 電子応用装置・電気計測器","7.387647014625889E-8","2.3863267370078373E-7","8.131737712183795E-7","1.9006461554195342E-6","1.1684420039529334E-5","3.07806993376926E-5","-4.756495658305825E-6","0.0012284922649429307","1.2836415645214896E-4","5.9385536589387576E-5"
"339 その他の電気機械","9.322109420001275E-5","3.6268486859127215E-4","4.2762740070077576E-5","6.0470906159438896E-5","6.050943204027434E-4","0.001178955129827299","0.004046394790592239","0.012096938582533053","0.003065727400504795","0.0015959862958397895"
"341 通信機械・同関連機器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7257039726666228E-4","7.375809996607443E-5"
"342 電子計算機・同附属装置","2.117200048742033E-9","6.338331912265488E-7","2.720964118643934E-9","4.7639147086117995E-9","8.266359621621216E-7","2.8720901290485253E-6","-1.165726666066879E-6","1.9254663452153016E-4","2.0513567998736968E-5","9.476415413200136E-6"
"351 乗用車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"352 その他の自動車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"353 自動車部品・同附属品","1.33540418285726E-7","3.4080628759067056E-7","1.810643336041883E-7","3.184251078832231E-7","2.865129193114272E-7","1.3491665750602195E-7","-5.362577047535176E-7","5.25461635947441E-4","2.945673418131949E-4","1.2682602627999518E-4"
"354 船舶・同修理","1.9586579613901632E-5","2.9919522495634096E-5","1.622818898878707E-4","5.175317691227071E-4","6.135810564217646E-4","0.002141296219008793","-4.0539237327630426E-4","0.005050984892050561","0.001030236542759008","6.505559181161897E-4"
"359 その他の輸送機械・同修理","1.6432470124050276E-7","1.151251516744655E-6","2.316371464610876E-6","7.286739516764861E-6","3.827745925889945E-6","2.4814692956145024E-5","4.6371264029093534E-7","3.9947178571296905E-5","2.0657857537561812E-4","9.097358796672137E-5"
"391 その他の製造工業製品","7.089523688003931E-4","3.0443406840989094E-4","1.1520989265873628E-4","1.2422967091851826E-4","2.4874103108957435E-4","5.343508656832108E-4","-1.1293101763604741E-4","0.0024258577919918463","0.0022527044102305005","0.00113369516393251"
"392 再生資源回収・加工処理","7.355870643920588E-5","1.4213392002706277E-4","4.536606265445115E-5","4.2027942666753314E-5","3.444076293546907E-4","1.0330449100081497E-4","0.001506505524503941","0.0013577886786806908","0.0018004687271186046","8.574576546377257E-4"
"411 建築","0.0","0.0","0.0","0.0","0.08727864018335378","0.1378457120081115","0.0","0.0","0.0","0.01259731488928072"
"412 建設補修","0.0013465519576565462","0.0044816410091323465","0.0032147743646672587","0.0058320738849434025","0.0011457939114014146","7.343081325760856E-4","0.001030485592495832","0.002236536345495917","0.0023018322937459843","0.002982701751304743"
"413 公共事業","0.0","0.0","0.0","0.0","0.3108264966849633","0.0","0.0","0.0","0.0","0.009981192474209935"
"419 その他の土木建設","0.0","0.0","0.0","0.0","0.0","0.05739898552077637","0.0","0.0","0.0","0.004078491253584454"
"461 電力","0.0021751004514079628","0.005243958253778964","0.0021532746635203603","0.0021411766251363366","0.001445010266144925","0.0010141037333419832","0.0015408941058165438","0.0038944580233191005","0.0067683229926684685","0.005018709602830795"
"462 ガス・熱供給","0.0016954277275946041","0.0013573964351712084","0.0010093410362282357","9.425319303622339E-4","4.078735484381964E-4","3.3010163358719753E-4","4.391180470165178E-4","0.0011224661321628505","9.482936119164239E-4","0.001031349877469948"
"471 水道","0.002885289424987737","0.007739863985148444","-0.002595565797525448","0.007572442831955005","8.271421209518058E-4","5.551008126666682E-4","3.7734645133045427E-4","0.001345417102928861","0.001184687360484208","0.002967855367157398"
"481 廃棄物処理","0.0036172243254473887","0.0018365772317840963","0.011850012010717694","0.022547082821648884","0.001794109435627427","5.751314524507194E-4","1.9893243909344091E-4","7.569773479553104E-4","0.001184870886687625","0.0028441881460151367"
"511 商業","0.07336083566092381","0.08196080685965099","0.015877870505208516","0.009019630131731994","0.034036373720242756","0.049628021969551184","0.017347210305671767","0.026732547250404887","0.03937995622963499","0.05101849354055934"
"531 金融・保険","0.004455165952741173","0.04984809028796678","0.010215305537607258","0.021074284771476322","0.012665705690222767","0.005808016097230585","0.0020994663551554193","0.006330829605280493","0.0076074083843291115","0.021690093418503153"
"551 不動産仲介及び賃貸","0.0064281556037645345","0.008989677659481794","0.008910985629378013","0.002450701168947337","0.004035847316833858","0.0038992380578312925","0.001465964588788417","0.003107477583946874","0.0043461492231202555","0.006254907993482752"
"552 住宅賃貸料","0.0","0.03633611219307187","2.465723480183642E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.01178313286502994"
"553 住宅賃貸料（帰属家賃）","0.0","0.12344138913995222","7.11413307952247E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.04001653318609089"
"571 鉄道輸送","8.128056313797616E-4","0.0023828174083020794","9.899527133844237E-4","0.0015919212449661446","6.085022194457223E-4","3.362074029307653E-4","1.6495069430960845E-4","6.121214052626731E-4","0.0018250607389551333","0.0017368690049826992"
"572 道路輸送（自家輸送を除く。）","0.014180999810294798","0.010981140338697059","0.003489809278864327","0.003966432492837204","0.009614847076334004","0.007546190338198919","0.005580766469615026","0.0069706732178736195","0.012755890223197387","0.010542670087442044"
"573 自家輸送","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"574 水運","1.8143808766194527E-4","3.9813219877795107E-4","1.2616965900196238E-4","1.2912994216243836E-4","6.959759246910851E-4","3.2491568813908847E-4","0.0016321147608346972","9.708531898441722E-4","0.007523098475066302","0.0034252503511011897"
"575 航空輸送","7.06880140765596E-6","1.923244005730703E-5","5.774574788145937E-6","5.930257876856098E-6","2.5301310227471765E-6","2.1411464444810144E-6","1.0768368837598517E-6","3.5561650302598976E-6","8.498323133568732E-5","4.359151090072063E-5"
"576 貨物利用運送","1.0526783269757796E-4","1.111934912237431E-4","4.790502649973789E-5","2.975507721239843E-5","1.4066830658742406E-4","1.1329814005076463E-4","1.3048382463720263E-4","1.3029554004147706E-4","3.769419546482335E-4","2.1811549476048977E-4"
"577 倉庫","7.558810556978696E-4","7.173628803952868E-4","6.744867497599201E-4","0.001425318394518901","7.314700249847063E-4","5.616163690516999E-4","0.002461225324679456","0.001371495532811457","0.001640557587737678","0.0011267457926294965"
"578 運輸附帯サービス","0.0016057848764132923","0.003653109642340015","5.94731108380826E-4","9.338873570703464E-4","0.0017638163585632267","9.022362287265932E-4","3.928607007618017E-4","8.367029870853548E-4","0.0046186226923424075","0.003381342959686696"
"579 郵便・信書便","0.0010755087142951297","0.001383674259790667","0.0012623529649408315","0.0023010056025205058","5.252440429190489E-4","2.7772989920576735E-4","9.956857785189301E-5","3.25866879495953E-4","5.392393230820854E-4","8.993118227126931E-4"
"591 通信","0.0066791535045655675","0.02383586866377004","0.002901121271610483","0.004043838272805049","0.0033578958649239364","0.0015635758079876763","5.13306558413757E-4","0.0014001652420525348","0.004472508706527106","0.010310813790332413"
"592 放送","8.60846487951728E-4","0.0013754659723600828","8.929441371577028E-5","5.102290111472839E-5","6.773386741052059E-5","5.098076930396115E-5","2.3356425847458097E-5","8.233870495204345E-5","0.001065844489894223","9.290045910073872E-4"
"593 情報サービス","4.237131823353628E-4","8.739837800592553E-4","6.730900308612814E-4","9.651897061731953E-4","0.002637611914955019","0.0065606083331353525","1.2677826948618204E-4","4.4753165077678466E-4","7.373751826093072E-4","0.001242200120413652"
"594 インターネット附随サービス","1.4776729974567957E-4","2.1403211777891524E-4","4.502460837996601E-5","6.613386208555335E-5","5.4749488196002674E-5","5.489438138019096E-5","1.953913416586451E-5","5.371514176920159E-5","1.1250072495565593E-4","1.3109041321593528E-4"
"595 映像・音声・文字情報制作","8.021374194466309E-4","8.383458608848445E-4","7.301270406553525E-4","9.171527977739395E-4","3.126547531455716E-4","2.9278049771567084E-4","-4.852654251058882E-5","2.637537395846517E-4","7.287051890279703E-4","7.154693636966111E-4"
"611 公務","1.5242213422952825E-4","0.003204581478102445","0.16904640581175334","0.55570285469194","7.174290917377467E-4","4.4734178503318383E-4","8.186678094544249E-5","2.407583588400984E-4","5.669432604755685E-4","0.027652653996488682"
"631 教育","3.150350020693369E-4","0.014614132492575564","0.13085381733869855","0.1041497928544042","4.127488093999042E-4","2.979854525936073E-4","7.372755310181718E-5","4.408246992758705E-4","0.0033849344710622765","0.021547473366534498"
"632 研究","0.0010167019950842397","0.0015762834027227537","0.014572436428844497","0.012400530159848747","0.0024681250511970295","0.0019477799901320306","0.003421411336672075","0.018748174411598845","0.012013051772891725","0.007658207175920808"
"641 医療","0.013869581345110267","0.01703981032151113","0.21136872753100647","0.0","0.0","0.0","0.0","0.0","0.0","0.027873928296386897"
"642 保健衛生","0.0137863916823227","4.8081803809248434E-4","0.005495703518353332","3.965836619662061E-4","4.127573773417463E-5","2.7990090280269478E-5","6.30500553213825E-5","4.350370014511024E-5","7.134381076692155E-5","9.661205513757544E-4"
"643 社会保険・社会福祉","3.5276954610465326E-4","0.010493673593153653","0.0402898571057851","0.010856616082720982","0.0","0.0","0.0","0.0","0.0","0.007793246095558909"
"644 介護","0.0","0.001414571226689993","0.09890715448061704","0.0","0.0","0.0","0.0","0.0","0.0","0.010829805474462008"
"659 その他の非営利団体サービス","0.0011591187190907375","0.011364040657066539","7.308852501125224E-4","4.028725598732684E-4","9.242451042501327E-4","5.352545875773841E-4","3.383129742050161E-4","9.670190190696987E-4","0.004377331488803017","0.005719648462893834"
"661 物品賃貸サービス","0.0018282859471051177","0.0018357346271406564","0.003302258836570699","0.0035906798298967605","0.008869444323389439","0.00417149902644587","4.908317895690006E-4","0.001592130072276751","0.002364129896417595","0.002620386802006725"
