"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","合計"
"011 耕種農業","0.025427137328410152","0.5015767962140933","0.01855588510275908","0.00038231929788797687","0.007146115602471789","0.03701762660028528","-0.00001227934203977864","0.00048131591774434537","0.4094250832783878","1.0"
"012 畜産","0.03015944709479293","0.45869988062404127","0.024052851519166727","0.0006980460688711246","0.0003042759156778212","0.04609486208548706","0.00042139748220349345","0.0004640538457683996","0.43910518536399107","1.0"
"013 農業サービス","-","-","-","-","-","-","-","-","-","-"
"015 林業","0.010114246097137281","0.14850795499134195","0.004727247007650136","0.00022307344151648533","0.012711346452344889","0.03924216371257108","0.26697632981154146","0.0001264483823557118","0.517371190103541","1.0"
"017 漁業","0.046331286351938186","0.4943849490968208","0.028262430503143882","0.00042890434066527173","0.00021492474651074663","0.0008033311776612089","0.009448578037986023","0.00039670483442469693","0.41972889091084903","1.0"
"061 金属鉱物","0.00017999540382296903","0.005669647739323612","0.002480694666841672","0.0002942499950583494","0.0054462468038933435","0.004005296580787021","0.02393986876104871","0.001525447579757074","0.9564585524694672","1.0"
"062 石炭・原油・天然ガス","0.0015859299352325692","0.08033740110022573","0.010499076121660336","0.0017259253490891134","0.007327834436958114","0.004803231574055563","0.04273341208668128","0.0016195029994247193","0.8493676863966727","1.0"
"063 非金属鉱物","-0.008142541235665256","-0.0009458187945359656","0.0027555065882861663","0.0006765706618768986","0.628708423542173","0.2879583610121689","-0.011828808851757662","0.0011351419269035254","0.09968316515055024","1.0"
"111 食料品","0.03818091236792306","0.7713887868139111","0.024345536372673653","0.0005712135550369616","0.00011759457130378938","0.0002189636990274281","0.00828883108206282","0.0002540948309165446","0.15663406670714455","1.0"
"112 飲料","0.08264668844196862","0.7758968566376775","0.011008774480843257","0.000145951086332358","0.00015551824926099495","0.00024942219083963957","0.0026264675378094896","0.00002685164891927682","0.12724346972634876","1.0"
"113 飼料・有機質肥料（別掲を除く。）","0.009306608027417246","0.4050506345385864","0.023715768196633097","0.0021733025761693685","0.0017665967526032016","0.01231199433477919","0.0010091408608430966","0.0004966931012832514","0.5441692616116852","1.0"
"114 たばこ","0.041249730041033765","0.9503635447411993","0.0","0.0","0.0","0.0","0.0083867252177669","0.0","0.0","1.0"
"151 繊維工業製品","0.0028099263411634863","0.07992458981368608","0.009768391983237383","0.001423328138017834","0.004874344971916823","0.03383565298553437","0.00793833912306967","0.009631972466146894","0.8497934541772274","1.0"
"152 衣服・その他の繊維既製品","0.019681285848749536","0.7387740219517479","0.05250914520451465","0.008786878782818515","0.009998099242048045","0.07332479189186775","-0.01367997445170205","0.00029755421836191845","0.11030819731159361","1.0"
"161 木材・木製品","0.004409576020330907","0.057285153874650954","0.00976110770717807","0.001503323696669108","0.12978809136110214","0.42610062415591493","0.002258164288323344","0.00047087562010578377","0.3684230832757247","1.0"
"162 家具・装備品","0.0211360714857016","0.3191665663004872","0.12281331925190131","0.012611594104313596","0.046482661580519315","0.26876962278487965","0.008026632048776449","0.0006802471348256173","0.2003132853085952","1.0"
"163 パルプ・紙・板紙・加工紙","-0.0028117254111593684","0.11755932080535601","0.08187249917685524","0.010925069519674053","0.022039681801991954","0.054113470628846326","-0.012634191008460811","0.001612686434377859","0.7273231880525188","1.0"
"164 紙加工品","0.028846378245741964","0.25267569079386154","0.0735092830263867","0.005964843526294842","0.011342632459148625","0.017862027446713193","-0.0021613457161516873","0.0017015985920545654","0.6102588916259504","1.0"
"191 印刷・製版・製本","0.015237365424454537","0.38606778996038926","0.16697813444568638","0.03537837632644667","0.014761467064797655","0.025916804583945557","0.002140160389783544","0.00106786312733375","0.3524520386771628","1.0"
"201 化学肥料","0.00600290577591957","0.13181429558812252","0.004670246794410301","0.0002252457388405094","0.011554908540404153","0.009484909328598247","-0.004320883484188452","0.0031458004796476305","0.8374225712382456","1.0"
"202 無機化学工業製品","0.0027688801250459138","0.05779577860628726","0.018459992572755952","0.0031044535153431176","0.007497012259594703","0.009496900033803369","0.015418002829494003","0.0060844487029367254","0.879374531354739","1.0"
"203 石油化学基礎製品","0.00012410713676137993","0.003132945809138381","0.0013758584878393243","0.00009371113328674575","0.00020234576386311974","0.00035211864070183843","0.022558088328322838","0.015023131671916443","0.9571376930281699","1.0"
"204 有機化学工業製品（石油化学基礎製品を除く。）","0.0011598639611472318","0.028761119899159127","0.0075348803874423715","0.0005235268007948036","0.0021216568254622567","0.0037710390818340776","0.016334544033431486","0.010046920557558922","0.9297464484531698","1.0"
"205 合成樹脂","0.001208538814841362","0.028362599477496635","0.009013621477636628","0.00061371594200641","0.004556699114608036","0.009020593855759235","0.01995842946481809","0.004617477653580977","0.9226483241992527","1.0"
"206 化学繊維","0.0009041214536616505","0.026231193837039674","0.0021722199053015204","0.00035230221947583353","0.0007258537901514216","0.004302671257266862","0.01422591663962107","0.012213000036473576","0.9388727208610085","1.0"
"207 医薬品","0.01814804414889558","0.2561736168279308","0.6940943467654188","0.0011947207067105029","0.00017122755643033449","0.00023561966674481475","0.014005305034881226","0.000028985873293048418","0.01594813341969464","1.0"
"208 化学最終製品（医薬品を除く。）","0.010003327111473899","0.2641668781655574","0.028195581835679683","0.0022676230724251846","0.012700029933428036","0.022349993574751495","0.04111835621514983","0.0027881097940270464","0.6164101002975074","1.0"
"211 石油製品","0.004671208730704414","0.3356899300782341","0.0341323049928053","0.007052571627749503","0.022610515735659337","0.018473828542195335","0.07895559223719226","0.0026992770537905366","0.49571477100166944","1.0"
"212 石炭製品","0.0007368745229633072","0.020188606267874044","0.0044491339404610355","0.0005687363199567545","0.08162313292437796","0.01644966601918674","0.02162254048679186","0.0015565012368069359","0.8528048082815815","1.0"
"221 プラスチック製品","0.007784080607513738","0.178058579917667","0.023450215931260805","0.004506052215793968","0.0364523128426563","0.05439623809621968","0.0014511356166590154","0.0030120497979786516","0.6908893349742509","1.0"
"222 ゴム製品","0.00797586221843758","0.38048977221409414","0.07590652171545509","0.013431865440817209","0.047868205120209936","0.041556048495034026","-0.05910789308775136","0.0023137153221614","0.4895659025615419","1.0"
"231 なめし革・毛皮・同製品","0.028842307889732275","0.8813723086242472","0.013875876859280855","0.00371721630496565","0.0020732338777836126","0.004179198322139653","-0.022714993130960225","0.00027674772030057823","0.08837810353251044","1.0"
"251 ガラス・ガラス製品","0.015280057122552546","0.12858999023110412","0.05646528294034674","0.006380041054254683","0.03968147353110453","0.14320527654300375","-0.008939882302865444","0.0031960855247146485","0.6161416753557843","1.0"
"252 セメント・セメント製品","0.0006269983606085792","0.04628630180279778","0.01083693321318758","0.0026581647456970455","0.5409660993216082","0.31423046424963674","-0.035490168149952504","0.00019715923134370155","0.11968804722507276","1.0"
"253 陶磁器","0.022958457935459302","0.17778606113850487","0.08179743155234784","0.004938718764211516","0.091508062159965","0.2838844727498689","0.0008701822360015425","0.0026367052204627033","0.33361990824317833","1.0"
"259 その他の窯業・土石製品","0.0031646722029952633","0.11395398914453309","0.018155750145909727","0.004173111046566807","0.09974033601987713","0.16738726365271628","0.014933808006823713","0.0020814331750366867","0.5764096366055411","1.0"
"261 銑鉄・粗鋼","0.0002468259771222617","0.00777403450967008","0.003456433221737291","0.0004075821784674356","0.0076671083675846725","0.0056226428215449134","0.03536086378304527","0.0020979991100658637","0.9373665100307621","1.0"
"262 鋼材","0.00029542546278367654","0.010959323476561254","0.003812341372607531","0.0005972849576727629","0.026956217380970225","0.03649456889680587","0.06357311349419022","0.0027893011971551057","0.8545224237612534","1.0"
"263 鋳鍛造品","0.00019814816746499615","0.0057120769759277995","0.0010589686105433739","0.00040848687371463683","0.017564819224532995","0.07946126871722844","0.0060041835430140215","0.00425838874844009","0.8853336591391336","1.0"
"269 その他の鉄鋼製品","0.0007280426528754124","0.019733969468865208","0.005736742262891563","0.0013779178814477926","0.016913979673050528","0.042223404671040576","0.01776385075434321","0.0035255393739876857","0.891996553261498","1.0"
"271 非鉄金属製錬・精製","0.0003406517566778014","0.05220627310076599","0.00226484039818832","0.00028909940696092017","0.004296546914957149","0.005364094736607618","-0.0050153948597041025","0.008815690103112206","0.931438198442434","1.0"
"272 非鉄金属加工製品","0.0016247490000160568","0.03778496155557702","0.028011486024759676","0.00161154160297806","0.03953444201862215","0.11030550543527863","-0.031134527490829685","0.0047442948593981","0.8075175469942001","1.0"
"281 建設・建築用金属製品","0.0011020434563924779","0.08765286627176448","0.01863256443375676","0.0049437436694353245","0.27312560718509477","0.5043278320203","0.002284350566224211","0.00029006254365501993","0.10764092985337712","1.0"
"289 その他の金属製品","0.01065354273878866","0.1640357150861634","0.03604268731177496","0.011485309963891055","0.05860960224625599","0.1484575667400606","-0.009353152485977706","0.002497388151472249","0.5775713402475707","1.0"
"291 はん用機械","0.0003698552470147662","0.022812724707373232","0.0036157677927594976","0.0013492764108733852","0.02567098040354397","0.40565530336356925","0.028711198039475472","0.0021564094498092313","0.509658484585581","1.0"
"301 生産用機械","0.0006227283841816562","0.037351651957788216","0.006319445020722283","0.0016649736940995107","0.016726763041234164","0.7007758708132604","-0.008626721803362675","0.002161060823789989","0.2430042280682865","1.0"
"311 業務用機械","0.004223734886577396","0.1533864174320449","0.19892881875154433","0.024787404120392625","0.030233647505376087","0.47212995629141835","-0.005689126166796478","0.0006202274976778286","0.12137891968176488","1.0"
"321 電子デバイス","0.0015910271096787711","0.09385187796302909","0.016591335642045835","0.0034198712532374936","0.011891798211811076","0.055837314836309326","0.014637759444324907","0.00868600632768927","0.7934930092118743","1.0"
