"""","011 耕種農業","012 畜産","013 農業サービス","015 林業","017 漁業","061 金属鉱物","062 石炭・原油・天然ガス","063 非金属鉱物","111 食料品","112 飲料","113 飼料・有機質肥料（別掲を除く。）","114 たばこ","151 繊維工業製品","152 衣服・その他の繊維既製品","161 木材・木製品","162 家具・装備品","163 パルプ・紙・板紙・加工紙","164 紙加工品","191 印刷・製版・製本","201 化学肥料","202 無機化学工業製品","203 石油化学基礎製品","204 有機化学工業製品（石油化学基礎製品を除く。）","205 合成樹脂","206 化学繊維","207 医薬品","208 化学最終製品（医薬品を除く。）","211 石油製品","212 石炭製品","221 プラスチック製品","222 ゴム製品","231 なめし革・毛皮・同製品","251 ガラス・ガラス製品","252 セメント・セメント製品","253 陶磁器","259 その他の窯業・土石製品","261 銑鉄・粗鋼","262 鋼材","263 鋳鍛造品","269 その他の鉄鋼製品","271 非鉄金属製錬・精製","272 非鉄金属加工製品","281 建設・建築用金属製品","289 その他の金属製品","291 はん用機械","301 生産用機械","311 業務用機械","321 電子デバイス","329 その他の電子部品","331 産業用電気機器","332 民生用電気機器","333 電子応用装置・電気計測器","339 その他の電気機械","341 通信機械・同関連機器","342 電子計算機・同附属装置","351 乗用車","352 その他の自動車","353 自動車部品・同附属品","354 船舶・同修理","359 その他の輸送機械・同修理","391 その他の製造工業製品","392 再生資源回収・加工処理","411 建築","412 建設補修","413 公共事業","419 その他の土木建設","461 電力","462 ガス・熱供給","471 水道","481 廃棄物処理","511 商業","531 金融・保険","551 不動産仲介及び賃貸","552 住宅賃貸料","553 住宅賃貸料（帰属家賃）","571 鉄道輸送","572 道路輸送（自家輸送を除く。）","573 自家輸送","574 水運","575 航空輸送","576 貨物利用運送","577 倉庫","578 運輸附帯サービス","579 郵便・信書便","591 通信","592 放送","593 情報サービス","594 インターネット附随サービス","595 映像・音声・文字情報制作","611 公務","631 教育","632 研究","641 医療","642 保健衛生","643 社会保険・社会福祉","644 介護","659 その他の非営利団体サービス","661 物品賃貸サービス","662 広告","663 自動車整備・機械修理","669 その他の対事業所サービス","671 宿泊業","672 飲食サービス","673 洗濯・理容・美容・浴場業","674 娯楽サービス","679 その他の対個人サービス","681 事務用品","691 分類不明","700 内生部門計","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","780 県内最終需要計","790 県内需要合計","810 移輸出","820 最終需要計","830 需要合計","870 （控除）移輸入","880 最終需要部門計","970 県内生産額"
"207 医薬品","0.0","37.0","143.0","0.0","81.0","0.0","0.0","0.0","16.0","0.0","3.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","338.0","207.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","165.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","77.0","9.0","57.0","44311.0","197.0","638.0","341.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","72.0","46704.0","590.0","4136.0","0.0","0.0","0.0","0.0","728.0","3.0","5457.0","52161.0","8405.0","13862.0","60566.0","-51025.0","-37163.0","9541.0"
"208 化学最終製品（医薬品を除く。）","5391.0","13.0","39.0","5.0","46.0","0.0","0.0","31.0","156.0","323.0","0.0","0.0","847.0","137.0","767.0","469.0","89.0","446.0","388.0","4.0","270.0","375.0","689.0","47.0","0.0","132.0","31249.0","520.0","93.0","319.0","139.0","4.0","0.0","125.0","0.0","286.0","61.0","276.0","8.0","4.0","0.0","153.0","388.0","253.0","751.0","293.0","115.0","0.0","52.0","26.0","11.0","4.0","308.0","1.0","1.0","0.0","0.0","40.0","352.0","27.0","630.0","2.0","964.0","347.0","296.0","105.0","61.0","74.0","36.0","85.0","6.0","4.0","0.0","2.0","12.0","1.0","35.0","8.0","10.0","0.0","0.0","2.0","14.0","0.0","0.0","9.0","11.0","0.0","82.0","134.0","4.0","500.0","805.0","103.0","221.0","297.0","137.0","68.0","22.0","566.0","337.0","144.0","302.0","624.0","140.0","318.0","141.0","3386.0","57568.0","495.0","14939.0","0.0","0.0","0.0","0.0","2915.0","955.0","19304.0","76872.0","204437.0","223741.0","281309.0","-45200.0","178541.0","236109.0"
"211 石油製品","2239.0","15.0","45.0","137.0","1240.0","0.0","0.0","100.0","599.0","355.0","17.0","0.0","755.0","79.0","76.0","57.0","42.0","72.0","18.0","49.0","570.0","35990.0","739.0","8.0","0.0","20.0","2165.0","41273.0","874.0","60.0","58.0","5.0","2.0","379.0","1.0","207.0","889.0","2075.0","7.0","95.0","8.0","81.0","83.0","100.0","197.0","153.0","13.0","0.0","20.0","8.0","2.0","0.0","89.0","1.0","0.0","0.0","0.0","9.0","15.0","15.0","20.0","153.0","432.0","164.0","1991.0","311.0","10400.0","766.0","896.0","373.0","1318.0","127.0","187.0","122.0","0.0","75.0","7290.0","25832.0","7031.0","272.0","64.0","21.0","81.0","45.0","124.0","13.0","12.0","1.0","23.0","2439.0","474.0","673.0","1239.0","75.0","238.0","405.0","312.0","89.0","8.0","341.0","268.0","191.0","640.0","389.0","680.0","222.0","0.0","5412.0","164345.0","164.0","57921.0","0.0","0.0","0.0","0.0","17969.0","1006.0","77060.0","241405.0","621995.0","699055.0","863400.0","-141804.0","557251.0","721596.0"
"212 石炭製品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","16.0","46.0","339.0","0.0","0.0","0.0","68.0","0.0","3606.0","3.0","0.0","0.0","0.0","6.0","0.0","139.0","50817.0","4132.0","31.0","10.0","9.0","2.0","1.0","1.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","3.0","146.0","1.0","5031.0","636.0","2556.0","0.0","0.0","6.0","-2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","13.0","0.0","0.0","0.0","1.0","0.0","85.0","0.0","0.0","5.0","0.0","562.0","68292.0","1.0","-6.0","0.0","0.0","0.0","0.0","54.0","61.0","110.0","68402.0","40471.0","40581.0","108873.0","-33916.0","6665.0","74957.0"
"221 プラスチック製品","1009.0","12.0","29.0","145.0","249.0","0.0","0.0","0.0","3150.0","3481.0","0.0","0.0","75.0","250.0","201.0","411.0","24.0","302.0","562.0","8.0","135.0","0.0","183.0","10.0","0.0","321.0","10159.0","79.0","0.0","9481.0","653.0","51.0","1.0","11.0","0.0","40.0","0.0","69.0","1.0","6.0","1.0","425.0","35.0","46.0","3615.0","578.0","461.0","4.0","150.0","112.0","114.0","9.0","2555.0","25.0","9.0","0.0","0.0","100.0","20.0","2.0","1448.0","33.0","1942.0","682.0","1296.0","618.0","0.0","0.0","1279.0","53.0","2973.0","695.0","35.0","111.0","172.0","0.0","35.0","2.0","12.0","1.0","4.0","42.0","69.0","0.0","3.0","11.0","111.0","0.0","23.0","221.0","32.0","729.0","462.0","0.0","10.0","26.0","144.0","9.0","18.0","512.0","131.0","87.0","100.0","87.0","306.0","43.0","361.0","599.0","54896.0","112.0","2254.0","6.0","0.0","0.0","-5.0","-95.0","156.0","2428.0","57324.0","34528.0","36956.0","91852.0","-51931.0","-14975.0","39921.0"
"222 ゴム製品","199.0","3.0","22.0","5.0","16.0","0.0","0.0","8.0","41.0","6.0","0.0","0.0","10.0","86.0","8.0","18.0","2.0","15.0","6.0","1.0","4.0","0.0","61.0","3.0","0.0","11.0","133.0","0.0","2.0","26.0","566.0","7.0","0.0","63.0","0.0","18.0","191.0","698.0","0.0","2.0","0.0","5.0","84.0","14.0","1802.0","1001.0","51.0","1.0","9.0","54.0","24.0","2.0","63.0","1.0","0.0","0.0","0.0","48.0","184.0","15.0","99.0","47.0","41.0","9.0","450.0","163.0","0.0","0.0","37.0","241.0","46.0","2.0","0.0","0.0","0.0","1.0","147.0","476.0","124.0","0.0","2.0","6.0","2.0","2.0","18.0","0.0","0.0","1.0","0.0","231.0","10.0","28.0","388.0","4.0","77.0","114.0","282.0","11.0","0.0","3369.0","5.0","52.0","16.0","13.0","120.0","25.0","85.0","84.0","12417.0","45.0","3086.0","0.0","0.0","0.0","0.0","-898.0","57.0","2290.0","14707.0","8884.0","11174.0","23591.0","-12000.0","-826.0","11591.0"
"231 なめし革・毛皮・同製品","5.0","0.0","0.0","0.0","4.0","0.0","0.0","7.0","5.0","1.0","0.0","0.0","3.0","139.0","8.0","8.0","0.0","2.0","1.0","0.0","0.0","6.0","2.0","0.0","0.0","0.0","33.0","0.0","1.0","2.0","0.0","69.0","0.0","2.0","0.0","2.0","5.0","75.0","0.0","0.0","0.0","1.0","15.0","0.0","2.0","3.0","65.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","1.0","0.0","0.0","2.0","3.0","7.0","61.0","3.0","3.0","36.0","22.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","290.0","2.0","0.0","4.0","0.0","62.0","6.0","48.0","10.0","1.0","5.0","3.0","68.0","11.0","0.0","0.0","7.0","21.0","2.0","11.0","15.0","51.0","0.0","1.0","1265.0","192.0","5739.0","0.0","0.0","0.0","0.0","-162.0","4.0","5773.0","7038.0","648.0","6421.0","7686.0","-6695.0","-274.0","991.0"
"251 ガラス・ガラス製品","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","157.0","282.0","0.0","0.0","12.0","16.0","2.0","447.0","1.0","0.0","0.0","0.0","22.0","0.0","35.0","0.0","0.0","71.0","928.0","0.0","0.0","191.0","12.0","0.0","4.0","0.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","151.0","5.0","12.0","137.0","4.0","1023.0","0.0","96.0","1.0","9.0","0.0","234.0","0.0","0.0","0.0","0.0","0.0","12.0","5.0","236.0","0.0","899.0","116.0","11.0","5.0","0.0","0.0","1.0","2.0","43.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0","54.0","256.0","101.0","36.0","11.0","19.0","13.0","0.0","0.0","477.0","1.0","32.0","40.0","3.0","34.0","2.0","0.0","0.0","6309.0","57.0","161.0","0.0","0.0","0.0","0.0","-72.0","1.0","147.0","6456.0","22.0","169.0","6478.0","-6425.0","-6256.0","53.0"
"252 セメント・セメント製品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2673.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","4987.0","1528.0","9016.0","1971.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","3.0","38.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","370.0","20629.0","0.0","12.0","0.0","0.0","0.0","0.0","-673.0","14.0","-647.0","19982.0","13812.0","13165.0","33794.0","-9095.0","4070.0","24699.0"
"253 陶磁器","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","25.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","3.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","49.0","8.0","1.0","687.0","19.0","0.0","1.0","23.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","8.0","1.0","927.0","39.0","38.0","33.0","0.0","0.0","0.0","9.0","39.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","16.0","0.0","74.0","2.0","84.0","77.0","11.0","0.0","0.0","0.0","1.0","63.0","159.0","0.0","1.0","9.0","0.0","0.0","2484.0","21.0","220.0","0.0","0.0","0.0","0.0","2.0","0.0","243.0","2727.0","5.0","248.0","2732.0","-2721.0","-2473.0","11.0"
"259 その他の窯業・土石製品","286.0","10.0","19.0","0.0","1.0","0.0","0.0","0.0","10.0","1.0","3.0","0.0","0.0","0.0","5.0","45.0","4.0","0.0","0.0","4.0","354.0","0.0","18.0","3.0","0.0","10.0","162.0","9.0","31.0","5.0","3.0","0.0","1.0","376.0","0.0","263.0","3321.0","200.0","22.0","0.0","4.0","27.0","161.0","104.0","1097.0","463.0","25.0","2.0","34.0","22.0","5.0","2.0","389.0","2.0","0.0","0.0","0.0","6.0","21.0","5.0","51.0","0.0","1514.0","811.0","787.0","752.0","8.0","2.0","177.0","0.0","31.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","16.0","138.0","1.0","17.0","0.0","0.0","1.0","0.0","0.0","0.0","13.0","0.0","2.0","12.0","1.0","41.0","25.0","48.0","74.0","12058.0","18.0","622.0","0.0","0.0","0.0","0.0","89.0","64.0","793.0","12851.0","7656.0","8449.0","20507.0","-10639.0","-2190.0","9868.0"
"261 銑鉄・粗鋼","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","221223.0","166516.0","187.0","721.0","0.0","0.0","-28.0","-81.0","-96.0","-90.0","-6.0","0.0","0.0","-1.0","-2.0","0.0","-52.0","0.0","0.0","0.0","0.0","-1.0","-19.0","-2.0","0.0","0.0","0.0","-30.0","-21.0","-6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7997.0","396210.0","0.0","-340.0","0.0","0.0","-267.0","-1532.0","4519.0","0.0","2380.0","398590.0","153990.0","156370.0","552580.0","-19423.0","136947.0","533157.0"
"262 鋼材","4.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","4.0","17.0","225.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63.0","79.0","0.0","0.0","272.0","0.0","61.0","0.0","194651.0","218.0","10511.0","0.0","41.0","8708.0","4983.0","7088.0","4704.0","87.0","0.0","71.0","266.0","119.0","5.0","632.0","14.0","0.0","0.0","0.0","83.0","1563.0","43.0","85.0","0.0","3937.0","627.0","3467.0","1850.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","7177.0","251720.0","0.0","0.0","0.0","0.0","0.0","0.0","12033.0","1015.0","13048.0","264768.0","323289.0","336337.0","588057.0","-67210.0","269127.0","520847.0"
"263 鋳鍛造品","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","6.0","0.0","0.0","15.0","0.0","0.0","0.0","1074.0","147.0","8004.0","2259.0","26.0","0.0","6.0","68.0","4.0","3.0","99.0","0.0","0.0","0.0","0.0","87.0","161.0","19.0","35.0","0.0","46.0","12.0","172.0","549.0","0.0","0.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","0.0","1.0","0.0","11.0","12842.0","0.0","0.0","0.0","0.0","0.0","0.0","63.0","1.0","64.0","12906.0","1392.0","1456.0","14298.0","-12820.0","-11364.0","1478.0"
"269 その他の鉄鋼製品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","239.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","59.0","0.0","39.0","10.0","0.0","1.0","0.0","0.0","8.0","3609.0","2811.0","2604.0","1614.0","23.0","0.0","52.0","42.0","80.0","0.0","372.0","1.0","0.0","0.0","0.0","34.0","335.0","50.0","48.0","0.0","45.0","29.0","61.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","332.0","12543.0","0.0","0.0","0.0","0.0","0.0","0.0","219.0","34.0","253.0","12796.0","16911.0","17164.0","29707.0","-7542.0","9622.0","22165.0"
"271 非鉄金属製錬・精製","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","1.0","0.0","-5.0","0.0","479.0","0.0","221.0","0.0","0.0","0.0","613.0","0.0","0.0","19.0","0.0","0.0","1.0","0.0","0.0","65.0","1554.0","2125.0","3.0","-3.0","127.0","20780.0","62.0","315.0","45.0","162.0","126.0","3.0","285.0","54.0","3.0","1.0","3737.0","0.0","0.0","0.0","0.0","20.0","12.0","5.0","341.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","31190.0","0.0","1230.0","0.0","0.0","0.0","-265.0","-317.0","3.0","651.0","31841.0","457.0","1108.0","32298.0","-31484.0","-30376.0","814.0"
"272 非鉄金属加工製品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","164.0","96.0","0.0","0.0","0.0","0.0","32.0","133.0","0.0","6.0","33.0","0.0","1.0","0.0","1.0","0.0","0.0","11.0","426.0","8.0","0.0","86.0","18.0","1.0","0.0","9.0","0.0","35.0","0.0","245.0","0.0","0.0","5.0","3693.0","954.0","984.0","12429.0","1417.0","234.0","2.0","709.0","328.0","139.0","28.0","1964.0","15.0","3.0","0.0","0.0","100.0","158.0","30.0","390.0","0.0","1497.0","444.0","698.0","1295.0","51.0","0.0","9.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","3.0","42.0","0.0","10.0","750.0","0.0","10.0","37.0","13.0","0.0","0.0","190.0","4.0","35.0","51.0","21.0","0.0","16.0","8.0","320.0","30404.0","9.0","99.0","0.0","0.0","0.0","0.0","-993.0","423.0","-462.0","29942.0","40046.0","39584.0","69988.0","-27303.0","12281.0","42685.0"
"281 建設・建築用金属製品","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","964.0","20.0","101.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","110.0","13.0","177.0","0.0","11313.0","3941.0","4138.0","3339.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","2.0","0.0","0.0","0.0","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","24251.0","0.0","193.0","2.0","0.0","3.0","156.0","43.0","12.0","409.0","24660.0","32577.0","32986.0","57237.0","-22591.0","10395.0","34646.0"
"289 その他の金属製品","91.0","14.0","0.0","4.0","21.0","0.0","0.0","69.0","765.0","3572.0","2.0","0.0","5.0","59.0","295.0","559.0","3.0","9.0","8.0","0.0","289.0","32.0","315.0","11.0","0.0","115.0","2542.0","252.0","142.0","71.0","401.0","10.0","0.0","192.0","0.0","139.0","12.0","32.0","18.0","9.0","0.0","96.0","1658.0","1015.0","5646.0","2577.0","339.0","2.0","315.0","228.0","77.0","23.0","565.0","23.0","8.0","0.0","0.0","38.0","387.0","22.0","435.0","2.0","3825.0","3314.0","1226.0","352.0","53.0","28.0","40.0","4.0","1387.0","23.0","1.0","33.0","140.0","4.0","126.0","0.0","117.0","0.0","1.0","30.0","81.0","0.0","72.0","1.0","3.0","1.0","4.0","1049.0","18.0","14.0","107.0","1.0","39.0","47.0","142.0","25.0","0.0","338.0","24.0","39.0","365.0","102.0","9.0","218.0","3.0","211.0","37131.0","199.0","1863.0","0.0","0.0","19.0","1779.0","-437.0","77.0","3500.0","40631.0","23469.0","26969.0","64100.0","-35977.0","-9008.0","28123.0"
"291 はん用機械","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","73.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","0.0","18.0","0.0","0.0","0.0","12.0","0.0","11.0","0.0","0.0","4.0","0.0","0.0","0.0","65.0","17.0","31658.0","2606.0","80.0","0.0","29.0","95.0","62.0","2.0","15.0","4.0","0.0","0.0","0.0","40.0","410.0","10.0","7.0","0.0","1673.0","30.0","515.0","385.0","0.0","0.0","264.0","0.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.0","64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2504.0","12.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","40708.0","0.0","96.0","0.0","0.0","685.0","24730.0","1894.0","784.0","28189.0","68897.0","215305.0","243494.0","284202.0","-53399.0","190095.0","230803.0"
"301 生産用機械","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","125.0","0.0","0.0","0.0","22.0","0.0","10.0","0.0","0.0","3.0","2.0","0.0","3.0","1.0","16.0","782.0","10177.0","13.0","0.0","30.0","15.0","4.0","3.0","13.0","0.0","0.0","0.0","0.0","3.0","94.0","1.0","3.0","0.0","3.0","4.0","23.0","1.0","0.0","1.0","8.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","8.0","0.0","1.0","1.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3759.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","15161.0","0.0","69.0","0.0","0.0","623.0","33425.0","-426.0","716.0","34407.0","49568.0","70485.0","104892.0","120053.0","-42283.0","62609.0","77770.0"
"311 業務用機械","0.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","1122.0","346.0","1199.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","18.0","0.0","10.0","0.0","69.0","0.0","7.0","0.0","0.0","0.0","4.0","1.0","475.0","3.0","0.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","0.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","13.0","1987.0","0.0","0.0","4393.0","55.0","222.0","262.0","0.0","98.0","0.0","1851.0","14.0","1.0","0.0","0.0","227.0","12.0","226.0","0.0","12648.0","17.0","1719.0","0.0","0.0","688.0","12580.0","-164.0","70.0","14910.0","27558.0","9664.0","24574.0","37222.0","-23708.0","866.0","13514.0"
"321 電子デバイス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","228.0","332.0","828.0","7.0","525.0","187.0","327.0","165.0","3821.0","93.0","40.0","0.0","0.0","26.0","0.0","0.0","182.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","760.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7524.0","0.0","7.0","0.0","0.0","0.0","0.0","13.0","3.0","23.0","7547.0","81.0","104.0","7628.0","-7497.0","-7393.0","131.0"
"329 その他の電子部品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","2.0","4955.0","116.0","779.0","23.0","2839.0","162.0","81.0","129.0","199.0","277.0","22.0","0.0","0.0","17.0","9.0","1.0","33.0","0.0","81.0","7.0","7.0","0.0","1.0","0.0","1.0","0.0","13.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","23.0","11.0","1.0","38.0","421.0","4.0","217.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","3413.0","2.0","0.0","0.0","0.0","0.0","2.0","256.0","0.0","14190.0","7.0","840.0","0.0","0.0","0.0","0.0","-91.0","96.0","852.0","15042.0","9741.0","10593.0","24783.0","-12389.0","-1796.0","12394.0"
