"""","011 耕種農業","012 畜産","013 農業サービス","015 林業","017 漁業","061 金属鉱物","062 石炭・原油・天然ガス","063 非金属鉱物","111 食料品","112 飲料","113 飼料・有機質肥料（別掲を除く。）","114 たばこ","151 繊維工業製品","152 衣服・その他の繊維既製品","161 木材・木製品","162 家具・装備品","163 パルプ・紙・板紙・加工紙","164 紙加工品","191 印刷・製版・製本","201 化学肥料","202 無機化学工業製品","203 石油化学基礎製品","204 有機化学工業製品（石油化学基礎製品を除く。）","205 合成樹脂","206 化学繊維","207 医薬品","208 化学最終製品（医薬品を除く。）","211 石油製品","212 石炭製品","221 プラスチック製品","222 ゴム製品","231 なめし革・毛皮・同製品","251 ガラス・ガラス製品","252 セメント・セメント製品","253 陶磁器","259 その他の窯業・土石製品","261 銑鉄・粗鋼","262 鋼材","263 鋳鍛造品","269 その他の鉄鋼製品","271 非鉄金属製錬・精製","272 非鉄金属加工製品","281 建設・建築用金属製品","289 その他の金属製品","291 はん用機械","301 生産用機械","311 業務用機械","321 電子デバイス","329 その他の電子部品","331 産業用電気機器","332 民生用電気機器","333 電子応用装置・電気計測器","339 その他の電気機械","341 通信機械・同関連機器","342 電子計算機・同附属装置","351 乗用車","352 その他の自動車","353 自動車部品・同附属品","354 船舶・同修理","359 その他の輸送機械・同修理","391 その他の製造工業製品","392 再生資源回収・加工処理","411 建築","412 建設補修","413 公共事業","419 その他の土木建設","461 電力","462 ガス・熱供給","471 水道","481 廃棄物処理","511 商業","531 金融・保険","551 不動産仲介及び賃貸","552 住宅賃貸料","553 住宅賃貸料（帰属家賃）","571 鉄道輸送","572 道路輸送（自家輸送を除く。）","573 自家輸送","574 水運","575 航空輸送","576 貨物利用運送","577 倉庫","578 運輸附帯サービス","579 郵便・信書便","591 通信","592 放送","593 情報サービス","594 インターネット附随サービス","595 映像・音声・文字情報制作","611 公務","631 教育","632 研究","641 医療","642 保健衛生","643 社会保険・社会福祉","644 介護","659 その他の非営利団体サービス","661 物品賃貸サービス","662 広告","663 自動車整備・機械修理","669 その他の対事業所サービス","671 宿泊業","672 飲食サービス","673 洗濯・理容・美容・浴場業","674 娯楽サービス","679 その他の対個人サービス","681 事務用品","691 分類不明","700 内生部門計","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","780 県内最終需要計","790 県内需要合計","810 移輸出","820 最終需要計","830 需要合計","870 （控除）移輸入","880 最終需要部門計","970 県内生産額"
"162 家具・装備品","0.0","0.0","0.0","0.0","5.0","0.0","0.0","3.0","48.0","41.0","0.0","0.0","36.0","17.0","6.0","355.0","5.0","13.0","3.0","0.0","24.0","9.0","49.0","3.0","0.0","13.0","131.0","3.0","6.0","33.0","11.0","0.0","0.0","10.0","0.0","16.0","37.0","99.0","1.0","0.0","0.0","9.0","7.0","6.0","102.0","48.0","4.0","0.0","12.0","5.0","4.0","1.0","28.0","1.0","0.0","0.0","0.0","1.0","48.0","1.0","121.0","2.0","2062.0","905.0","7.0","5.0","120.0","8.0","85.0","80.0","548.0","464.0","15.0","103.0","62.0","5.0","36.0","0.0","64.0","1.0","1.0","25.0","77.0","2.0","295.0","8.0","44.0","9.0","20.0","260.0","227.0","209.0","638.0","5.0","566.0","303.0","786.0","33.0","2.0","16.0","177.0","141.0","352.0","26.0","299.0","148.0","0.0","123.0","10739.0","134.0","1087.0","5.0","0.0","100.0","2015.0","99.0","20.0","3460.0","14199.0","13478.0","16938.0","27677.0","-11241.0","5697.0","16436.0"
"163 パルプ・紙・板紙・加工紙","30.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","14.0","1.0","0.0","0.0","28.0","58.0","231.0","502.0","4743.0","6962.0","1607.0","0.0","47.0","0.0","0.0","15.0","0.0","20.0","478.0","0.0","0.0","162.0","46.0","1.0","1.0","0.0","0.0","11.0","0.0","25.0","0.0","2.0","0.0","77.0","2.0","12.0","311.0","13.0","3.0","0.0","52.0","11.0","6.0","0.0","118.0","3.0","0.0","0.0","0.0","2.0","0.0","0.0","293.0","2.0","758.0","118.0","0.0","0.0","0.0","0.0","0.0","5.0","-340.0","89.0","0.0","0.0","32.0","0.0","25.0","0.0","4.0","0.0","10.0","54.0","126.0","0.0","16.0","0.0","84.0","1.0","611.0","46.0","316.0","261.0","0.0","34.0","93.0","102.0","114.0","0.0","0.0","15.0","296.0","56.0","0.0","18.0","30.0","1.0","1091.0","137.0","20095.0","-231.0","-713.0","0.0","0.0","0.0","0.0","-215.0","6.0","-1153.0","18942.0","4834.0","3681.0","23776.0","-14411.0","-10730.0","9365.0"
"164 紙加工品","4818.0","29.0","254.0","38.0","16.0","0.0","0.0","0.0","1818.0","1360.0","2.0","0.0","95.0","140.0","12.0","193.0","1.0","85.0","14.0","4.0","28.0","0.0","83.0","12.0","0.0","181.0","6411.0","0.0","0.0","98.0","13.0","5.0","1.0","108.0","0.0","61.0","0.0","0.0","0.0","55.0","0.0","12.0","3.0","70.0","65.0","50.0","31.0","0.0","33.0","9.0","20.0","1.0","120.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","135.0","16.0","3.0","92.0","0.0","0.0","0.0","0.0","10.0","14.0","3239.0","292.0","1.0","0.0","0.0","4.0","42.0","0.0","40.0","1.0","0.0","58.0","189.0","3.0","27.0","4.0","14.0","2.0","7.0","45.0","108.0","120.0","317.0","31.0","493.0","510.0","106.0","0.0","2.0","0.0","143.0","33.0","377.0","14.0","33.0","45.0","2722.0","256.0","25898.0","509.0","1623.0","0.0","0.0","0.0","0.0","-130.0","4.0","2006.0","27904.0","6743.0","8749.0","34647.0","-16342.0","-7593.0","18305.0"
"191 印刷・製版・製本","17.0","0.0","1.0","0.0","7.0","0.0","0.0","1.0","1473.0","141.0","0.0","0.0","17.0","79.0","28.0","43.0","5.0","99.0","650.0","1.0","12.0","2.0","12.0","1.0","0.0","22.0","1429.0","7.0","5.0","15.0","11.0","1.0","0.0","3.0","0.0","2.0","6.0","25.0","3.0","5.0","0.0","15.0","11.0","33.0","633.0","83.0","73.0","1.0","24.0","11.0","41.0","2.0","40.0","3.0","1.0","0.0","0.0","1.0","12.0","2.0","131.0","38.0","119.0","40.0","80.0","19.0","267.0","91.0","100.0","98.0","3345.0","3578.0","11.0","3.0","0.0","27.0","161.0","0.0","64.0","1.0","9.0","13.0","181.0","55.0","884.0","33.0","95.0","28.0","778.0","2160.0","1092.0","2094.0","917.0","58.0","784.0","169.0","2342.0","27.0","179.0","90.0","464.0","26.0","73.0","63.0","689.0","135.0","0.0","83.0","26803.0","127.0","457.0","0.0","0.0","0.0","0.0","11.0","4.0","599.0","27402.0","3566.0","4165.0","30968.0","-19883.0","-15718.0","11085.0"
"201 化学肥料","3886.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","141.0","111.0","0.0","457.0","26.0","0.0","9.0","530.0","2.0","-200.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0","-1066.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","52.0","9.0","24.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","24.0","0.0","6.0","4128.0","0.0","63.0","0.0","0.0","0.0","0.0","4.0","1.0","68.0","4196.0","427.0","495.0","4623.0","-3770.0","-3275.0","853.0"
"202 無機化学工業製品","99.0","1.0","6.0","0.0","16.0","0.0","0.0","0.0","369.0","335.0","1.0","0.0","870.0","16.0","8.0","2.0","18.0","7.0","0.0","78.0","4116.0","718.0","2280.0","63.0","0.0","244.0","9817.0","23.0","17.0","236.0","263.0","2.0","4.0","13.0","0.0","20.0","2130.0","709.0","2.0","11.0","1.0","81.0","250.0","17.0","823.0","49.0","4.0","1.0","28.0","5.0","2.0","0.0","714.0","1.0","0.0","0.0","0.0","0.0","36.0","5.0","120.0","7.0","25.0","15.0","94.0","40.0","1.0","0.0","548.0","197.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","7.0","6.0","0.0","0.0","0.0","0.0","0.0","2.0","42.0","1.0","305.0","163.0","95.0","25.0","27.0","0.0","0.0","1.0","27.0","0.0","4.0","24.0","43.0","6.0","1.0","0.0","186.0","26527.0","0.0","74.0","0.0","0.0","0.0","0.0","229.0","56.0","359.0","26886.0","12483.0","12842.0","39369.0","-14567.0","-1725.0","24802.0"
"203 石油化学基礎製品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0","15.0","2.0","32413.0","19184.0","112.0","0.0","4.0","1623.0","97.0","0.0","1.0","6.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","91.0","23.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","53596.0","0.0","0.0","0.0","0.0","0.0","0.0","965.0","694.0","1659.0","55255.0","58804.0","60463.0","114059.0","-29079.0","31384.0","84980.0"
"204 有機化学工業製品（石油化学基礎製品を除く。）","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","473.0","504.0","2.0","0.0","1000.0","60.0","53.0","25.0","25.0","61.0","6.0","5.0","154.0","227.0","20835.0","2323.0","11.0","525.0","33201.0","105.0","46.0","1397.0","1194.0","1.0","0.0","5.0","0.0","81.0","26.0","0.0","0.0","0.0","1.0","151.0","5.0","5.0","735.0","3.0","3.0","1.0","13.0","5.0","15.0","1.0","295.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","15.0","0.0","8.0","9.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","52.0","250.0","143.0","10.0","1.0","6.0","0.0","0.0","0.0","25.0","0.0","0.0","0.0","20.0","0.0","3.0","0.0","688.0","64828.0","0.0","1.0","0.0","0.0","0.0","0.0","844.0","1405.0","2250.0","67078.0","61812.0","64062.0","128890.0","-57453.0","6609.0","71437.0"
"205 合成樹脂","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","29.0","4.0","5.0","30.0","20.0","29.0","7.0","0.0","0.0","0.0","0.0","7.0","2.0","0.0","1458.0","0.0","0.0","6815.0","5.0","7.0","0.0","0.0","0.0","19.0","0.0","2.0","0.0","0.0","0.0","287.0","0.0","6.0","0.0","3.0","18.0","0.0","32.0","25.0","20.0","0.0","258.0","0.0","0.0","0.0","0.0","12.0","5.0","0.0","49.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","9250.0","0.0","0.0","0.0","0.0","0.0","0.0","173.0","56.0","229.0","9479.0","3371.0","3600.0","12850.0","-8665.0","-5065.0","4185.0"
"206 化学繊維","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3967.0","2174.0","2.0","9.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","16.0","2.0","1.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","180.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6369.0","0.0","0.0","0.0","0.0","0.0","0.0","93.0","0.0","93.0","6462.0","0.0","93.0","6462.0","-6431.0","-6338.0","31.0"
